node1,node2,capacity,reactance,cost_fixed,cost_linear
1.0,2.0,826.0,1.0,0.0,0.1
1.0,39.0,607.0,1.0,0.0,0.1
2.0,3.0,1023.0,1.0,0.0,0.1
2.0,30.0,1512.0,1.0,0.0,0.1
2.0,25.0,348.0,1.0,0.0,0.1
3.0,4.0,289.0,1.0,0.0,0.1
3.0,18.0,4.0,1.0,0.0,0.1
4.0,5.0,241.0,1.0,0.0,0.1
4.0,14.0,597.0,1.0,0.0,0.1
5.0,8.0,916.0,1.0,0.0,0.1
5.0,6.0,1157.0,1.0,0.0,0.1
6.0,31.0,1433.0,1.0,0.0,0.1
6.0,11.0,861.0,1.0,0.0,0.1
6.0,7.0,1137.0,1.0,0.0,0.1
7.0,8.0,607.0,1.0,0.0,0.1
8.0,9.0,345.0,1.0,0.0,0.1
9.0,39.0,329.0,1.0,0.0,0.1
10.0,32.0,1511.0,1.0,0.0,0.1
10.0,11.0,864.0,1.0,0.0,0.1
10.0,13.0,647.0,1.0,0.0,0.1
11.0,12.0,1.0,1.0,0.0,0.1
12.0,13.0,21.0,1.0,0.0,0.1
13.0,14.0,626.0,1.0,0.0,0.1
14.0,15.0,27.0,1.0,0.0,0.1
15.0,16.0,694.0,1.0,0.0,0.1
16.0,24.0,126.0,1.0,0.0,0.1
16.0,17.0,533.0,1.0,0.0,0.1
16.0,19.0,1060.0,1.0,0.0,0.1
16.0,21.0,783.0,1.0,0.0,0.1
17.0,18.0,352.0,1.0,0.0,0.1
17.0,27.0,180.0,1.0,0.0,0.1
19.0,33.0,1461.0,1.0,0.0,0.1
19.0,20.0,393.0,1.0,0.0,0.1
20.0,34.0,1138.0,1.0,0.0,0.1
21.0,22.0,1401.0,1.0,0.0,0.1
22.0,35.0,1489.0,1.0,0.0,0.1
22.0,23.0,81.0,1.0,0.0,0.1
23.0,24.0,826.0,1.0,0.0,0.1
23.0,36.0,1302.0,1.0,0.0,0.1
25.0,26.0,410.0,1.0,0.0,0.1
25.0,37.0,1265.0,1.0,0.0,0.1
26.0,27.0,455.0,1.0,0.0,0.1
26.0,28.0,124.0,1.0,0.0,0.1
26.0,29.0,236.0,1.0,0.0,0.1
28.0,29.0,588.0,1.0,0.0,0.1
29.0,38.0,1465.0,1.0,0.0,0.1
33.0,30.0,0,1,1.0,0.1
17.0,11.0,0,1,1.0,0.1
20.0,16.0,0,1,1.0,0.1
31.0,12.0,0,1,1.0,0.1
19.0,23.0,0,1,1.0,0.1
36.0,20.0,0,1,1.0,0.1
11.0,30.0,0,1,1.0,0.1
25.0,10.0,0,1,1.0,0.1
36.0,39.0,0,1,1.0,0.1
32.0,36.0,0,1,1.0,0.1
13.0,29.0,0,1,1.0,0.1
36.0,27.0,0,1,1.0,0.1
19.0,4.0,0,1,1.0,0.1
17.0,24.0,0,1,1.0,0.1
