node,demand,gen_capacity,gen_upgrade_ub,gen_upgrade_cost_fixed,gen_upgrade_cost_linear
1.0,97.599999999999994,0,0,0,0
2.0,0.0,0,0,0,0
3.0,322.0,0,0,0,0
4.0,500.0,0,0,0,0
5.0,0.0,0,0,0,0
6.0,0.0,0,0,0,0
7.0,233.80000000000001,0,0,0,0
8.0,522.0,0,0,0,0
9.0,6.5,0,0,0,0
10.0,0.0,0,0,0,0
11.0,0.0,0,0,0,0
12.0,8.5299999999999994,0,0,0,0
13.0,0.0,0,0,0,0
14.0,0.0,0,0,0,0
15.0,320.0,0,0,0,0
16.0,329.0,0,0,0,0
17.0,0.0,0,0,0,0
18.0,158.0,0,0,0,0
19.0,0.0,0,0,0,0
20.0,680.0,0,0,0,0
21.0,274.0,0,0,0,0
22.0,0.0,0,0,0,0
23.0,247.5,0,0,0,0
24.0,308.60000000000002,0,0,0,0
25.0,224.0,0,0,0,0
26.0,139.0,0,0,0,0
27.0,281.0,0,0,0,0
28.0,206.0,0,0,0,0
29.0,283.5,0,0,0,0
30.0,0.0,672.0,0,0,0
31.0,9.1999999999999993,678.0,0,0,0
32.0,0.0,672.0,0,0,0
33.0,0.0,652.0,0,0,0
34.0,0.0,508.0,0,0,0
35.0,0.0,662.0,0,0,0
36.0,0.0,580.0,0,0,0
37.0,0.0,564.0,0,0,0
38.0,0.0,830.0,0,0,0
39.0,1104.0,1000.0,0,0,0
