from_node,to_node,distance
2,10,0.05685233
5,7,0.07034509
20,24,0.0724961
1,14,0.08071469
19,21,0.08878042
2,18,0.09391836
17,30,0.09794099
20,23,0.10109462
3,14,0.10213558
2,11,0.1023329
15,36,0.11752899
10,30,0.11753575
11,13,0.11877501
3,13,0.12152388
18,32,0.12288291
1,15,0.13010071
6,13,0.13693587
10,18,0.13780665
4,8,0.13784575
2,13,0.13860078
10,17,0.14521479
27,30,0.14535552
15,32,0.15026192
15,39,0.15156502
1,32,0.15842225
21,23,0.15894921
1,18,0.1596814
1,3,0.16161896
24,34,0.16263017
2,17,0.16283582
25,30,0.16304583
16,36,0.16344797
17,32,0.16426488
17,33,0.16465893
16,32,0.16908462
16,23,0.16966898
11,25,0.1704284
6,12,0.17488862
14,18,0.17549038
21,35,0.17953928
24,36,0.18491205
13,18,0.19238133
19,22,0.19481486
11,18,0.19496781
4,7,0.19599277
3,6,0.20316047
1,4,0.20340837
18,30,0.20767557
25,27,0.20784832
27,33,0.20824456
2,32,0.20890859
34,36,0.21021541
3,11,0.21269062
3,5,0.2150466
27,29,0.21629382
26,37,0.21634359
19,24,0.21695289
3,10,0.22054645
14,32,0.22129087
4,9,0.22198479
15,20,0.22698853
28,38,0.2297837
22,24,0.23077525
16,33,0.23167882
2,14,0.23386783
15,18,0.23405214
21,24,0.23567318
14,39,0.23654098
23,34,0.23858724
5,14,0.23914302
20,21,0.24236815
21,33,0.24245712
26,30,0.2445625
19,36,0.24609478
26,38,0.24660504
3,32,0.2470812
1,36,0.2476283
4,13,0.25001615
4,6,0.25120827
28,37,0.25216194
13,31,0.25260125
19,32,0.25340802
27,38,0.25346516
5,13,0.25364415
32,33,0.2539487
12,25,0.25408963
9,14,0.25461275
30,32,0.25556267
8,14,0.2569264
17,25,0.25702574
10,12,0.25795207
10,27,0.25881202
2,12,0.26124000000000003
27,28,0.26291044
19,35,0.2672469
1,9,0.26950443
20,22,0.27042005
3,7,0.27323518
1,13,0.27441053
2,6,0.27549727
16,22,0.27993432
7,13,0.28778297
4,18,0.28788683
13,25,0.28850434
3,15,0.28852397
11,31,0.28861041
16,18,0.28976009
10,14,0.29031556
13,30,0.2910295
6,14,0.29155477
3,8,0.29170936
20,32,0.29216316
1,16,0.29244804
25,28,0.2927458
1,17,0.29402982
1,10,0.29417904
32,39,0.29418871
12,37,0.29422661
17,19,0.29551985
4,39,0.29567662
3,12,0.29672463
15,19,0.29810875
15,24,0.29925186
23,35,0.29977038
3,17,0.30001501
13,17,0.30141366000000003
11,14,0.30435439
10,33,0.30484821
18,33,0.30604485
11,37,0.3061828
20,39,0.30634925
6,10,0.30659868
7,14,0.30790037
15,23,0.30792624
9,15,0.30855799
7,31,0.30923969
2,27,0.30978094
11,32,0.31101334
18,25,0.31204693
34,39,0.31282327
13,32,0.3138208
15,17,0.31451231
15,34,0.31679688
21,36,0.31721282
5,9,0.31872772
1,5,0.3192904
2,4,0.31990876
11,27,0.32020635
1,8,0.32048742
6,18,0.32153101
4,15,0.32155535
25,29,0.32486565
10,26,0.32500023
14,36,0.3264215
2,33,0.32749209
2,15,0.32785399
14,17,0.32800659
3,30,0.32806255
16,34,0.32847917
27,37,0.33100142
1,11,0.33102985
18,36,0.33180435
23,32,0.33390572
5,31,0.333917
17,26,0.33419419
30,37,0.33427535
6,8,0.33469699
29,37,0.33715229
3,39,0.33797824
16,39,0.33846844
21,32,0.3411638
10,37,0.3416504
3,9,0.34284796
8,39,0.34474247
12,18,0.34518505
18,39,0.34624753
18,27,0.34851428
12,30,0.34907957
11,26,0.34912621
4,32,0.34946156
29,30,0.35080911
23,33,0.35317164
3,31,0.35472812
33,35,0.35479037
1,20,0.35523986
16,30,0.35561435
22,33,0.35778828
24,32,0.35908577
5,12,0.3594367
4,11,0.36015078
7,12,0.36052905
26,33,0.36087537
1,6,0.36276559
1,30,0.3641485
17,21,0.36476785
5,18,0.36481553
25,33,0.36561032
18,19,0.36566146
19,34,0.36621827
16,35,0.36637548
2,5,0.36652379
2,16,0.36705781
24,35,0.36739219
24,39,0.36890962
10,15,0.36893104
28,30,0.36946689
14,16,0.36949876
27,32,0.37017817
2,31,0.37093587
22,36,0.37180997
5,11,0.372353
17,36,0.37257984
8,13,0.37351389
33,38,0.37523626
4,10,0.37562629
7,9,0.37660111
3,25,0.37738023
10,31,0.37921714
15,33,0.3807866
9,36,0.38096018
14,30,0.38106016
10,16,0.38136697
2,26,0.38183559
19,30,0.38197936
15,21,0.38268558
25,31,0.38468831
20,33,0.38496114
6,25,0.38702215
22,34,0.38722824
1,7,0.38839806
2,37,0.38895345
33,36,0.38960805
1,19,0.38987241
13,15,0.39297412
11,33,0.39455707
29,33,0.3951075
31,37,0.39597462
21,34,0.39719558
25,32,0.39755509
20,35,0.39858686
30,38,0.39882064
12,14,0.39882986
4,12,0.40277564
12,17,0.40285933
7,11,0.40353228
23,39,0.40465344
15,30,0.40470246
3,36,0.40481887
13,37,0.40835896
1,33,0.41112765
19,27,0.41286286
18,20,0.41302554
2,7,0.41308852
3,16,0.41334135
4,31,0.41541371
17,20,0.41543832
5,10,0.41578076
25,38,0.41633645
8,15,0.41892061
24,33,0.41919757
9,32,0.41955191
5,39,0.4199461
16,27,0.42124424
9,18,0.42187381
6,30,0.42225725
7,18,0.42260516
17,23,0.42360271
17,29,0.42404586
2,36,0.42459407
8,18,0.42471679
11,15,0.42732786
1,24,0.42772913
13,27,0.42884252
1,23,0.42917846
12,26,0.43048167
17,37,0.43049254
32,34,0.43089653
2,19,0.43095896
2,39,0.43373207
19,39,0.43380062
10,19,0.43394634
4,36,0.43439412
14,20,0.43548015
6,32,0.4380403
6,17,0.43832986
1,34,0.44152387
21,30,0.44252079
18,31,0.44277714
4,17,0.44303459
5,15,0.44351332
22,32,0.44546441
18,26,0.44718501
10,28,0.44759618
21,27,0.44790524
10,29,0.44973615
1,12,0.45002373
18,21,0.45030826
5,32,0.45050336
17,38,0.45054845
14,31,0.45066526
12,27,0.45184235
37,38,0.45496696
3,33,0.45576868
17,39,0.45619283
18,23,0.45650433
2,8,0.45675229
17,28,0.45734005
10,36,0.45778765
13,39,0.4581648
7,10,0.45817096
9,13,0.45819854
14,25,0.45977471
15,22,0.46005495
11,28,0.46289661
14,33,0.46430553
28,33,0.4648697
6,37,0.46492526
14,19,0.46510373
11,16,0.46585134
13,33,0.46607201
12,32,0.46709471
13,26,0.4678514
1,25,0.46893031
30,36,0.46955624
17,24,0.47095832
6,9,0.47292311
3,27,0.47340078
8,32,0.47579228
30,31,0.47821021
1,21,0.47842112
9,34,0.47864644
18,37,0.47907628
18,24,0.48119303
4,30,0.48130473
13,16,0.48198597
17,22,0.48254933
10,39,0.48356289
11,29,0.48576271
8,31,0.48582286
2,9,0.48841188
7,39,0.48850225
8,11,0.48915699
35,36,0.48924918
9,20,0.48961892
6,15,0.49131414
4,16,0.49573481
26,32,0.49772565
1,27,0.49945186
3,19,0.50045866
2,20,0.50104869
2,28,0.50441042
8,12,0.50458048
13,36,0.50477531
2,29,0.50551594
3,20,0.50651903
9,16,0.50680989
17,35,0.50778743
10,21,0.50780891
14,24,0.50793306
14,23,0.50978414
2,21,0.51023703
10,38,0.51068862
8,10,0.51189596
21,39,0.51200759
20,30,0.51287591
7,15,0.51352633
14,34,0.5138907
5,17,0.51402673
32,35,0.51465767
7,32,0.51496758
1,31,0.5162928
16,25,0.51647894
23,30,0.51660091
3,37,0.51769914
15,27,0.51942852
12,28,0.51953798
8,36,0.52031034
33,37,0.52214542
6,39,0.52265424
11,39,0.52327641
11,19,0.5234185
14,27,0.52366067
17,31,0.5240307
10,20,0.52506197
34,35,0.52604669
11,36,0.5265779
4,25,0.52880934
27,35,0.5307651
5,30,0.53121839
33,39,0.53235144
2,23,0.53644087
15,25,0.53887372
30,39,0.53988194
5,25,0.54111494
18,34,0.54179182
3,26,0.54381746
9,10,0.54468773
19,25,0.54478736
4,20,0.54748979
10,23,0.55068802
9,24,0.55159227
6,27,0.553843
14,21,0.55387931
9,11,0.55479821
26,31,0.55657093
33,34,0.55657447
21,38,0.55666148
13,19,0.55666299
12,33,0.55758135
35,38,0.55807975
5,36,0.55819683
18,29,0.55844434
23,27,0.55955344
22,27,0.5596357
18,22,0.56025128
19,38,0.56051632
22,30,0.56066391
15,35,0.56182074
27,36,0.56258725
11,38,0.56277014
2,38,0.56291836
9,17,0.56349931
12,15,0.56463549
31,32,0.5653358
19,26,0.5654662
24,30,0.56697387
7,17,0.56717218
2,24,0.56725893
7,25,0.56738893
30,35,0.56788433
3,23,0.56926612
16,26,0.56966557
1,22,0.56977894
6,26,0.57072676
