scenario,node1,node2
0,22.0,23.0
0,6.0,7.0
1,6.0,11.0
1,21.0,22.0
1,16.0,19.0
2,26.0,27.0
2,28.0,29.0
3,12.0,13.0
3,2.0,25.0
3,10.0,13.0
4,26.0,27.0
4,26.0,29.0
4,11.0,12.0
5,10.0,11.0
5,23.0,24.0
5,17.0,18.0
6,13.0,14.0
7,26.0,28.0
7,2.0,25.0
7,15.0,16.0
8,16.0,24.0
8,22.0,23.0
8,14.0,15.0
9,16.0,19.0
9,16.0,17.0
9,10.0,13.0
9,16.0,24.0
10,16.0,17.0
10,6.0,7.0
11,4.0,14.0
12,11.0,12.0
12,17.0,18.0
12,26.0,29.0
13,5.0,6.0
14,8.0,9.0
14,22.0,23.0
14,2.0,25.0
14,3.0,18.0
15,5.0,8.0
16,26.0,29.0
16,1.0,39.0
16,10.0,11.0
16,2.0,25.0
17,5.0,6.0
17,17.0,18.0
18,4.0,14.0
18,13.0,14.0
19,2.0,25.0
20,4.0,5.0
20,17.0,27.0
20,26.0,28.0
20,2.0,3.0
21,16.0,17.0
21,13.0,14.0
22,9.0,39.0
22,23.0,24.0
23,16.0,24.0
23,1.0,2.0
24,8.0,9.0
24,2.0,3.0
24,6.0,11.0
25,26.0,29.0
26,6.0,7.0
26,9.0,39.0
27,17.0,18.0
27,1.0,2.0
28,8.0,9.0
29,17.0,18.0
30,17.0,27.0
30,2.0,3.0
31,13.0,14.0
31,16.0,24.0
31,20.0,34.0
32,13.0,14.0
32,7.0,8.0
32,11.0,12.0
32,21.0,22.0
33,23.0,24.0
33,4.0,14.0
33,26.0,29.0
33,16.0,19.0
34,20.0,34.0
35,10.0,11.0
35,17.0,27.0
35,6.0,7.0
35,5.0,8.0
36,1.0,2.0
36,23.0,24.0
36,14.0,15.0
37,3.0,4.0
38,25.0,26.0
39,14.0,15.0
40,8.0,9.0
40,25.0,26.0
40,6.0,11.0
41,1.0,39.0
42,16.0,24.0
42,26.0,28.0
42,26.0,27.0
43,1.0,39.0
43,20.0,34.0
43,17.0,27.0
43,16.0,21.0
44,26.0,27.0
44,16.0,21.0
44,9.0,39.0
45,5.0,8.0
45,16.0,17.0
45,1.0,2.0
46,10.0,11.0
46,15.0,16.0
47,12.0,13.0
47,5.0,6.0
48,6.0,7.0
48,20.0,34.0
49,26.0,28.0
49,16.0,21.0
49,9.0,39.0
49,26.0,27.0
