node1,node2,capacity,reactance,cost_fixed,cost_linear
1.0,2.0,48.0,1.0,0.0,0.1
1.0,3.0,47.0,1.0,0.0,0.1
2.0,4.0,42.0,1.0,0.0,0.1
2.0,5.0,33.0,1.0,0.0,0.1
2.0,6.0,49.0,1.0,0.0,0.1
3.0,4.0,41.0,1.0,0.0,0.1
4.0,12.0,25.0,1.0,0.0,0.1
4.0,6.0,40.0,1.0,0.0,0.1
5.0,7.0,33.0,1.0,0.0,0.1
6.0,7.0,20.0,1.0,0.0,0.1
6.0,8.0,54.0,1.0,0.0,0.1
6.0,9.0,17.0,1.0,0.0,0.1
6.0,10.0,10.0,1.0,0.0,0.1
6.0,28.0,12.0,1.0,0.0,0.1
8.0,28.0,15.0,1.0,0.0,0.1
9.0,10.0,17.0,1.0,0.0,0.1
9.0,11.0,0.0,1.0,0.0,0.1
10.0,17.0,17.0,1.0,0.0,0.1
10.0,20.0,18.0,1.0,0.0,0.1
10.0,21.0,10.0,1.0,0.0,0.1
10.0,22.0,12.0,1.0,0.0,0.1
12.0,16.0,12.0,1.0,0.0,0.1
12.0,13.0,37.0,1.0,0.0,0.1
12.0,14.0,11.0,1.0,0.0,0.1
12.0,15.0,14.0,1.0,0.0,0.1
14.0,15.0,4.0,1.0,0.0,0.1
15.0,18.0,17.0,1.0,0.0,0.1
15.0,23.0,25.0,1.0,0.0,0.1
16.0,17.0,4.0,1.0,0.0,0.1
18.0,19.0,9.0,1.0,0.0,0.1
19.0,20.0,13.0,1.0,0.0,0.1
21.0,22.0,50.0,1.0,0.0,0.1
22.0,24.0,11.0,1.0,0.0,0.1
23.0,24.0,5.0,1.0,0.0,0.1
24.0,25.0,26.0,1.0,0.0,0.1
25.0,26.0,8.0,1.0,0.0,0.1
25.0,27.0,34.0,1.0,0.0,0.1
27.0,28.0,26.0,1.0,0.0,0.1
27.0,29.0,14.0,1.0,0.0,0.1
27.0,30.0,16.0,1.0,0.0,0.1
29.0,30.0,9.0,1.0,0.0,0.1
26.0,23.0,0,1,1.0,0.1
13.0,8.0,0,1,1.0,0.1
16.0,13.0,0,1,1.0,0.1
24.0,10.0,0,1,1.0,0.1
28.0,16.0,0,1,1.0,0.1
9.0,23.0,0,1,1.0,0.1
19.0,8.0,0,1,1.0,0.1
28.0,30.0,0,1,1.0,0.1
