label,x,y
1,0.9671530001462136,0.8174540359513408
2,0.7649090968722271,0.7856356773880245
3,1,0.6576696094734263
4,0.8021292776146179,0.5937910658071476
5,0.7535061561968339,1
6,0.5283683652849561,0.625372147651195
7,0.5968246486610134,0.9037674213696174
8,0.619275969927689,0.470601077656845
9,0.25006996932404496,0.5543409599547318
10,0.31217299600659376,0.34790820175599135
11,0.053953256602959895,0.7005163316786837
12,0.7687741456923787,0.3441443166077994
13,0.8334635067221321,0.4448089080936467
14,0.7871435059402596,0.14775644949216898
15,0.554297141546782,0.18378624852937586
16,0.6533161817256649,0.5296800340442586
17,0.5204350537562077,0.35415886069626673
18,0.6613301930091454,0
19,0.6394584101031274,0.1865042289502452
20,0.4266002808335923,0.11199280151002179
21,0.17344935393740998,0.12082288409075023
22,0.09262275720974295,0.22603175808430365
23,0.24724236845975486,0.3075965105078131
24,0.08871973847826262,0.38766792879989054
25,0.004672488892141466,0.5963509754950818
26,0,0.40689826092273806
27,0.16359877380540727,0.7965409901462699
28,0.4255623070359625,0.7067452098157102
29,0.11036048826139892,0.9849186176790895
30,0.2586821442476975,0.9129123932705897
