scenario,node1,node2
0,22.0,24.0
0,6.0,10.0
1,12.0,14.0
1,25.0,27.0
2,6.0,9.0
2,19.0,20.0
2,12.0,15.0
3,27.0,28.0
3,27.0,30.0
4,27.0,28.0
4,27.0,29.0
4,10.0,20.0
5,6.0,8.0
5,22.0,24.0
5,12.0,16.0
5,1.0,2.0
6,10.0,22.0
7,6.0,8.0
7,6.0,28.0
7,23.0,24.0
7,4.0,6.0
8,6.0,7.0
8,27.0,29.0
8,21.0,22.0
9,2.0,5.0
9,6.0,10.0
10,27.0,29.0
10,2.0,6.0
10,12.0,16.0
11,12.0,14.0
11,6.0,9.0
12,4.0,6.0
13,15.0,18.0
13,10.0,21.0
13,2.0,5.0
14,22.0,24.0
14,2.0,5.0
14,12.0,14.0
14,10.0,20.0
15,24.0,25.0
15,6.0,7.0
15,16.0,17.0
16,6.0,7.0
17,6.0,28.0
17,22.0,24.0
17,2.0,5.0
17,3.0,4.0
18,15.0,23.0
18,1.0,3.0
18,12.0,15.0
19,12.0,14.0
19,9.0,10.0
19,8.0,28.0
20,5.0,7.0
21,6.0,7.0
21,14.0,15.0
22,4.0,6.0
22,10.0,22.0
23,2.0,6.0
24,5.0,7.0
24,8.0,28.0
24,16.0,17.0
24,21.0,22.0
25,4.0,12.0
25,15.0,18.0
25,27.0,28.0
25,2.0,4.0
26,24.0,25.0
26,6.0,28.0
26,6.0,7.0
27,10.0,20.0
27,4.0,12.0
27,29.0,30.0
28,12.0,14.0
28,10.0,22.0
29,8.0,28.0
29,23.0,24.0
30,6.0,28.0
30,1.0,3.0
30,6.0,8.0
31,27.0,30.0
32,6.0,9.0
32,8.0,28.0
33,14.0,15.0
33,12.0,15.0
33,15.0,23.0
33,8.0,28.0
34,15.0,18.0
34,1.0,2.0
35,6.0,28.0
36,15.0,18.0
37,15.0,23.0
37,1.0,3.0
38,6.0,8.0
38,4.0,12.0
39,23.0,24.0
39,4.0,6.0
39,27.0,29.0
39,12.0,15.0
40,18.0,19.0
41,1.0,2.0
41,22.0,24.0
41,10.0,22.0
42,2.0,5.0
42,6.0,8.0
43,22.0,24.0
43,24.0,25.0
44,12.0,16.0
45,1.0,3.0
46,1.0,3.0
46,18.0,19.0
46,15.0,23.0
46,12.0,15.0
47,27.0,28.0
47,14.0,15.0
47,8.0,28.0
48,5.0,7.0
48,12.0,14.0
48,1.0,2.0
49,18.0,19.0
49,6.0,28.0
49,12.0,15.0
49,1.0,3.0
