Bus,Voltage Mag(pu),Voltage Ang(deg),Generation P (MW),Generation Q (Mvar),Load P (MW),Load Q (MVAr),Lambda($/MVA-hr) P,Lambda($/MVA-hr) Q
1,1.033,17.095,26.48,15,51,27,40.53,0.281
2,1.039,17.192,,,20,9,40.49,0.168
3,1.038,17.54,,,39,10,40.302,0.227
4,1.06,20.134,0,71.52,39,12,39.333,
5,1.057,20.576,,,,,39.221,0.066
6,1.053,18.287,0.02,33.28,52,22,39.972,
7,1.051,17.989,,,19,2,40.09,0.003
8,1.041,24.703,0,-78.64,28,0,39.23,
9,1.06,30.949,,,,,38.553,-0.137
10,1.053,37.649,401.87,-99.67,,,37.861,
11,1.046,18.153,,,70,23,40.129,0.104
12,1.05,17.832,85.79,54.44,47,10,40.187,
13,1.034,17.033,,,34,16,40.64,0.242
14,1.049,17.271,,,14,1,40.41,-0.03
15,1.049,17.23,20.88,23.85,90,30,40.418,
16,1.046,17.543,,,25,10,40.286,0.058
17,1.06,19.103,,,11,3,39.671,-0.045
18,1.05,17.527,13.22,30.47,60,34,40.264,
19,1.048,17.157,21.58,23.96,45,25,40.432,0.007
20,1.036,17.47,,,18,3,40.541,0.123
21,1.031,18.517,,,14,8,40.366,0.202
22,1.035,20.383,,,10,5,39.938,0.184
23,1.049,24.206,,,7,3,39.001,0.028
24,1.046,23.685,0,-7.3,13,0,39.296,
25,1.06,30.543,193.81,-47,,,37.619,-0.132
26,1.027,32.164,279.76,-27.58,,,37.819,
27,1.041,19.844,9.92,25.53,71,13,40.198,
28,1.035,18.453,,,17,7,40.603,0.061
29,1.035,17.711,,,24,4,40.808,0.035
30,1.031,22.979,,,,,39.458,-0.017
31,1.039,17.856,7.25,27.19,43,27,40.709,
32,1.041,19.426,14.86,21.83,59,23,40.297,
33,1.046,16.716,,,23,9,40.514,0.067
34,1.056,17.31,4.88,-7.9,59,26,40.098,-0.005
35,1.054,16.974,,,33,9,40.206,0.006
36,1.054,16.986,10.66,19.74,31,17,40.213,
37,1.06,17.712,,,,,39.912,-0.031
38,1.015,21.281,,,,,39.665,0.016
39,1.042,16.029,,,27,11,40.827,0.075
40,1.042,15.829,49.32,28.75,66,23,40.986,
41,1.035,15.398,,,37,10,41.248,0.066
42,1.041,16.697,40.99,22.1,96,23,40.82,
43,1.04,16.592,,,18,7,40.842,0.017
44,1.031,17.834,,,16,8,41.124,-0.024
45,1.025,19.164,,,53,22,40.948,0.082
46,1.038,21.487,19.04,-4.15,28,10,40.041,
47,1.045,23.324,,,34,0,39.355,-0.016
48,1.047,22.898,,,20,11,39.399,-0.079
49,1.05,23.878,193.33,19.69,87,30,38.954,
50,1.039,22.074,,,17,4,39.693,0.053
51,1.022,19.812,,,17,8,40.659,0.215
52,1.017,18.978,,,18,5,41.015,0.239
53,1.016,18.226,,,23,11,41.092,0.195
54,1.031,19.105,49.54,34.86,113,32,40.643,
55,1.031,19.044,32.13,20.01,63,22,40.643,
56,1.031,19.1,32.56,14.89,84,18,40.651,0.003
57,1.032,19.989,,,12,3,40.429,0.036
58,1.024,19.243,,,12,3,40.794,0.134
59,1.047,21.705,149.7,95.67,277,113,39.317,
60,1.046,24.606,,,78,3,38.744,0.003
61,1.048,25.366,148.41,31.96,,,38.552,
62,1.044,24.858,0,0.89,77,14,38.745,
63,1.016,24.36,,,,,38.962,0.004
64,1.023,25.805,,,,,38.595,-0.025
65,1.016,28.609,352.24,-67,,,38.017,-0.006
66,1.06,28.87,348.86,-67,39,18,37.799,-0.215
67,1.047,26.253,,,28,7,38.464,-0.065
68,1.015,28.003,,,,,37.945,0.003
69,1.06,30,453.67,-111.09,,,37.57,
70,1.039,23.694,0,28.88,66,20,39.727,
71,1.039,23.475,,,,,39.762,-0.01
72,1.04,22.983,0,-5.2,12,0,39.743,
73,1.038,23.338,0,-2.22,6,0,39.8,
74,1.022,22.908,16.93,9,68,27,40.339,0.229
75,1.024,23.776,,,47,11,40.036,0.26
76,1.012,22.904,22.85,23,68,36,40.457,0.445
77,1.047,26.121,0,70,61,28,38.943,0.015
78,1.042,25.847,,,71,26,39.047,0.091
79,1.044,26.121,,,39,32,38.902,0.102
80,1.06,28.251,430.84,-9.43,130,26,38.065,
81,1.011,28.109,,,,,37.983,0.016
82,1.038,25.474,,,54,27,39.126,0.117
83,1.04,25.919,,,20,10,38.9,0.094
84,1.043,27.172,,,11,7,38.297,0.182
85,1.051,28.066,0,23,24,15,37.774,0.104
86,1.044,26.951,,,21,10,38.202,0.117
87,1.057,27.253,3.63,3.54,,,38.131,
88,1.048,30.167,,,48,10,37.307,0.117
89,1.06,33.331,501.84,-24.01,,,36.535,
90,1.042,27.918,0,47.21,163,42,38.286,
91,1.046,28.216,0,1.56,10,0,38.124,
92,1.05,29.421,0,9,65,10,37.609,0.109
93,1.04,27.745,,,12,7,38.268,0.245
94,1.038,26.691,,,30,16,38.654,0.261
95,1.027,25.946,,,42,31,38.997,0.421
96,1.035,25.973,,,38,15,38.899,0.237
97,1.043,26.767,,,15,9,38.583,0.17
98,1.052,26.687,,,34,8,38.525,0.048
99,1.054,26.195,0,-3.17,42,0,38.649,
100,1.058,27.146,231.29,45.77,37,18,38.357,
101,1.043,27.326,,,22,15,38.303,0.191
102,1.047,28.632,,,5,3,37.867,0.145
103,1.051,25.106,38.25,11.72,23,16,39.123,
104,1.043,22.959,0,22.89,38,25,39.886,0.005
105,1.04,22.43,5.16,9.29,31,26,40.103,
106,1.034,22.177,,,43,16,40.216,0.094
107,1.034,21.241,29.03,3.26,50,12,40.581,
108,1.039,22.132,,,2,1,40.209,0.008
109,1.039,22.043,,,8,3,40.236,0.015
110,1.041,22.108,7.03,19.67,39,30,40.141,
111,1.049,23.493,35.24,-0.25,,,39.579,
112,1.034,21.026,36.48,10.28,68,13,40.73,
113,1.055,19.091,0,-10.23,6,0,39.785,
114,1.037,19.116,,,8,3,40.417,0.043
115,1.036,19.106,,,22,7,40.423,0.047
116,1.015,27.585,0,6.41,184,0,37.991,
117,1.035,16.461,,,20,8,40.684,0.165
118,1.012,22.96,,,33,15,40.437,0.435
