Brnch #,From bus,To bus,From bus injection P (MW),From bus injection Q (MVAr),To bus injection P (MW),To bus injection Q (MVAr),Loss (I^2*Z) P (MW),Loss (I^2*Z) Q (MVAr)
0,37,9001,-56.16,-9.48,56.16,9.5,0.002,0.01
1,9001,9005,-71.42,-23.19,71.47,23.38,0.043,0.18
2,9001,9006,26.45,9.92,-26.28,-6.84,0.171,3.07
3,9001,9012,-11.18,3.78,11.23,-2.97,0.046,0.82
4,9005,9051,-17.71,-8.82,17.77,10.32,0.063,1.5
5,9005,9052,30.22,28.33,-30,-23,0.225,5.33
6,9005,9053,-22.25,-5.71,22.33,7.76,0.086,2.05
7,9005,9054,-53.22,-32,53.22,38,0,6
8,9005,9055,-8.52,-5.19,8.52,6,0,0.81
9,9006,9007,9.48,2.55,-9.43,-2.33,0.051,0.23
10,9006,9003,8.4,2.15,-8.32,-1.79,0.08,0.35
11,9006,9003,8.4,2.15,-8.32,-1.79,0.08,0.35
12,9012,9002,-7.53,0.78,7.57,-0.55,0.041,0.23
13,9012,9002,-7.53,0.78,7.57,-0.55,0.041,0.23
14,9002,9021,7.36,2.56,-7.33,-2.52,0.03,0.04
15,9021,9023,0.95,0.35,-0.94,-0.34,0.011,0.01
16,9021,9022,1.62,0.61,-1.61,-0.53,0.013,0.08
17,9002,9024,1.43,0.54,-1.42,-0.47,0.011,0.07
18,9023,9025,0.47,0.17,-0.47,-0.16,0.002,0.01
19,9023,9026,0.47,0.17,-0.47,-0.16,0.001,0.01
20,9007,9071,1.08,0.39,-1.07,-0.35,0.006,0.04
21,9007,9072,1.07,0.38,-1.07,-0.35,0.004,0.03
22,9007,9003,7.28,1.56,-7.25,-1.43,0.03,0.13
23,9003,9031,1.96,0.85,-1.93,-0.64,0.033,0.21
24,9003,9032,1.47,0.6,-1.46,-0.48,0.019,0.12
25,9003,9033,2.02,0.88,-1.98,-0.65,0.036,0.23
26,9003,9044,4.41,1.58,-4.39,-1.56,0.016,0.01
27,9044,9004,4.39,1.56,-4.38,-1.56,0.008,0.01
28,9004,9041,1.06,0.38,-1.06,-0.35,0.005,0.03
29,9004,9042,0.86,0.33,-0.85,-0.28,0.009,0.05
30,9004,9043,1.6,0.57,-1.6,-0.52,0.005,0.05
31,9003,9034,1.64,-1.19,-1.63,1.25,0.005,0.06
32,9003,9035,1.76,0.7,-1.75,-0.58,0.019,0.12
33,9003,9036,3.05,1.18,-3.03,-1,0.016,0.18
34,9003,9037,1.97,0.75,-1.96,-0.64,0.017,0.11
35,9003,9038,2.75,1.15,-2.71,-0.89,0.039,0.26
36,9012,9121,3.84,1.4,-3.8,-1.25,0.037,0.15
37,9053,9533,1.3,0.42,-1.3,-0.41,0,0.01
38,1,5,385.28,78.07,-383.86,-69.54,1.421,8.52
39,2,6,145.83,25.33,-145.63,-23.54,0.199,1.79
40,2,8,328.42,2.53,-322.54,18.1,5.884,26.48
41,3,7,309.54,138.04,-309.54,-134.68,0,3.36
42,3,19,135.42,2.72,-133.99,-4.39,1.438,12.4
43,3,150,106.43,139.6,-106.13,-137.5,0.3,2.1
44,4,16,555.62,-93.45,-549.98,23.5,5.648,53.66
45,5,9,115.81,15.62,-115.04,-13.82,0.767,3.7
46,7,12,198.72,-64.77,-198.3,61.45,0.425,3.82
47,7,131,51.5,100.83,-51.37,-101.36,0.127,0.89
48,8,11,11.59,-1.53,-11.58,-1.9,0.016,0.08
49,8,14,247.94,-20.57,-240.41,36.44,7.534,24.34
50,9,11,19.04,-29.18,-18.97,28.11,0.067,0.3
51,11,13,152.8,-0.29,-151.04,5.87,1.759,7.47
52,12,21,420.29,92.89,-416.65,-77.46,3.637,27.28
53,13,20,93.04,-15.87,-92.53,17.11,0.513,2.9
54,14,15,80.41,-96.44,-78.38,92.29,2.024,6.07
55,15,37,23.38,-11.09,-23.04,-0.68,0.341,1.3
56,15,89,15.42,-7.42,-15.18,4.24,0.245,0.61
57,15,90,12.83,-5.62,-12.67,1,0.154,0.58
58,16,42,271.03,-136.9,-269.61,10.72,1.421,15.63
59,19,21,-14.31,45.95,14.36,-49.07,0.05,0.45
60,19,87,148.3,-41.56,-145.29,44.77,3.012,18.53
61,20,22,-5.81,21.33,5.9,-22.71,0.08,0.17
62,20,27,27.73,0.7,-27.2,-9.18,0.533,1.44
63,21,24,-197.97,-53.08,199.63,38.99,1.658,14.09
64,22,23,-86.9,-0.29,90.72,3.07,3.825,8.16
65,23,25,122.53,10.04,-119.97,-6.77,2.559,5.25
66,24,319,116.76,-28.63,-115.8,24,0.958,9.31
67,25,26,74.97,-5.23,-73.08,5.4,1.893,3.73
68,26,27,42.6,-0.57,-41.8,-3.82,0.8,2.13
69,26,320,2.47,-13.83,-2.4,12.6,0.075,0.23
70,33,34,-151.76,-13.21,151.76,26.66,0,13.45
71,33,38,93.35,14.87,-93.14,-15.29,0.206,0.99
72,33,40,50.32,-3.74,-50.18,2.25,0.14,0.68
73,33,41,-46.9,-3.93,47.04,1.96,0.142,0.87
74,34,42,-151.76,-26.66,151.98,23.68,0.212,1.7
75,35,72,48.13,1.33,-47.86,-0.79,0.271,1.36
76,35,76,73.21,33.07,-72.84,-32.39,0.377,0.88
77,35,77,-52.9,-9.32,53.18,9.83,0.281,0.81
78,36,88,-68.45,-27.51,68.65,24.19,0.198,1.34
79,37,38,28.64,-5.06,-28.58,4.56,0.062,0.37
80,37,40,23.94,-11.45,-23.8,11.1,0.142,0.41
81,37,41,-49.5,-10.95,49.74,9.63,0.236,0.85
82,37,49,5.67,4.74,-5.66,-9.82,0.014,0.06
83,37,89,-6.05,0.1,6.09,-3.57,0.038,0.09
84,37,90,-8.51,0.78,8.54,-2.42,0.033,0.09
85,38,41,-84.04,-5.14,84.57,5.4,0.525,2.43
86,38,43,50.76,-2.13,-50,-0.05,0.765,2.08
87,39,42,516.19,-25.97,-514.77,-4.15,1.423,15.18
88,40,48,27.98,7.65,-27.77,-8.76,0.207,1.23
89,41,42,-303,-27.52,303,52.02,0,24.5
90,41,49,11.96,3.13,-11.87,-5.01,0.095,0.28
91,41,51,23.69,7.4,-23.51,-10.77,0.184,0.53
92,42,46,329.4,-82.27,-327.43,5.88,1.964,13.75
93,43,44,-24.06,-8.22,24.22,4.94,0.154,0.43
94,43,48,0.5,-0.83,-0.5,-2.51,0.001,0
95,43,53,34.57,0.1,-34.42,-1.32,0.148,0.44
96,44,47,86.64,5.17,-84.73,-3.3,1.908,5.93
97,44,54,6.42,4.13,-6.4,-8,0.021,0.06
98,45,60,-174.52,-7.66,176.46,-15.7,1.94,11.36
99,45,74,124.2,-3.63,-122.91,-33.14,1.289,7.73
100,46,81,105.4,-48.34,-104.9,-24.58,0.501,4.21
101,47,73,-9.29,-2.77,9.33,-4.55,0.045,0.12
102,47,113,36.02,-5.73,-35.46,5.96,0.56,1.54
103,48,107,-12.73,-7.73,12.78,7.12,0.052,0.13
104,49,51,-1.86,-1.8,1.86,-2.78,0.001,0
105,51,52,26.65,8.54,-26.36,-12.8,0.29,0.85
106,52,55,-34.64,-15.2,35,12.53,0.364,1.08
107,53,54,-34.58,-1.68,34.87,-1.14,0.288,0.84
108,54,55,-38.48,8.15,39,-11.57,0.528,1.55
109,55,57,-48.11,9.08,49.63,-13.93,1.526,3.97
110,57,58,-5.61,27.64,6,-30.81,0.384,0.67
111,57,63,17.22,-6.67,-16.78,0.51,0.445,1.5
112,58,59,-20,29.81,20.11,-30.01,0.112,0.32
113,59,61,-238.11,-75.99,239.32,82.26,1.206,7.84
114,60,62,-176.46,15.7,179.11,-50.83,2.642,19.08
115,62,64,144.88,10.15,-141.8,-11.77,3.086,20.25
116,62,144,-34.66,52.14,34.69,-53.33,0.036,0.25
117,63,526,150.93,-1.11,-145.3,34.9,5.632,36.55
118,69,211,-29.58,-8.5,30.06,7.77,0.474,2.15
119,69,79,-16.11,-8.47,16.27,6.62,0.16,0.49
120,70,71,-84.35,1.75,86.69,-0.64,2.342,7.32
121,70,528,28.35,-21.75,-28.1,20.5,0.25,1.54
122,71,72,-27.2,9.78,27.52,-15.56,0.321,1.17
123,71,73,-37.9,13.67,38.46,-16.86,0.561,1.63
124,72,77,-50.71,-5.54,51.17,6.64,0.461,2.23
125,72,531,14.05,2.89,-14,-2.5,0.052,0.39
126,73,76,-23.49,20.1,23.7,-22.58,0.209,0.57
127,73,79,-58.24,7.29,58.85,-7.38,0.608,1.76
128,74,88,-118.36,-36.5,118.93,34.95,0.57,3.85
129,74,562,51.21,-17.36,-50.5,-17.4,0.707,4.98
130,76,77,-58.86,-17.03,59.46,18.22,0.594,1.6
131,77,78,-253.97,-56.23,254.62,59.39,0.648,3.89
132,77,80,-3.13,-2.53,3.13,-1.43,0.001,0.01
