Bus,Voltage Mag(pu),Voltage Ang(deg),Generation P (MW),Generation Q (Mvar),Load P (MW),Load Q (MVAr),Lambda($/MVA-hr) P,Lambda($/MVA-hr) Q
1,1.009,0,142.63,44.59,55,17,42.131,
2,1.008,0.821,87.82,50,3,88,41.756,0.158
3,1.003,-1.169,45.07,28.76,41,21,42.536,
4,1.006,-1.066,,,,,42.499,0.011
5,1.016,-0.035,,,13,4,42.008,0.046
6,1.026,0.881,72.9,7.76,75,2,41.458,
7,1.024,1.666,,,,,41.233,0.17
8,1.044,4.723,459.83,87.19,150,22,40.437,
9,1.004,-0.092,97.51,9,121,26,41.955,0.248
10,0.984,-3.58,,,5,2,43.208,0.238
11,0.984,-2.244,,,,,43.011,0.394
12,0.992,-3.489,361.54,43.26,377,24,43.325,
13,0.978,-3.157,,,18,2.3,43.419,0.232
14,0.97,-3.518,,,10.5,5.3,43.522,0.097
15,0.988,-2.545,,,22,5,43.065,0.096
16,0.991,-3.949,,,43,3,43.471,0.019
17,0.993,-2.891,,,42,8,43.118,0.088
18,1.026,-5.297,,,27.2,9.8,42.533,-0.017
19,0.988,-6.665,,,3.3,0.6,44.557,0.669
20,0.977,-6.837,,,2.3,1,44.995,0.915
21,1.015,-6.524,,,,,45.109,0.718
22,1.015,-6.462,,,,,45.065,0.711
23,1.014,-6.469,,,6.3,2.1,45.135,0.741
24,1.017,-5.849,,,,,45.365,1.008
25,1.001,-10.773,,,6.3,3.2,45.63,1.227
26,0.976,-5.334,,,,,45.441,1.073
27,1.013,-2.857,,,9.3,0.5,43.325,0.708
28,1.033,-1.508,,,4.6,2.3,42.1,0.491
29,1.05,-0.625,,,17,2.6,41.149,0.237
30,0.98,-11.36,,,3.6,1.8,46.75,1.856
31,0.951,-12.158,,,5.8,2.9,48.383,2.78
32,0.96,-11.551,,,1.6,0.8,47.608,2.51
33,0.958,-11.59,,,3.8,1.9,47.77,2.591
34,0.967,-7.624,,,,,47.403,2.239
35,0.973,-7.406,,,6,3,47.023,2.032
36,0.982,-7.15,,,,,46.449,1.739
37,0.991,-6.997,,,,,46.032,1.44
38,1.016,-6.432,,,14,7,44.918,0.649
39,0.989,-7.022,,,,,46.115,1.491
40,0.98,-7.142,,,,,46.488,1.842
41,1.007,-6.415,,,6.3,3,43.053,0.857
42,0.975,-8.038,,,7.1,4.4,45.336,1.54
43,1.02,-3.48,,,2,1,43.018,0.519
44,1.019,-5.911,,,12,1.8,44.515,0.59
45,1.035,-4.065,,,,,43.021,0.33
46,1.06,-5.091,,,,,43.468,-0.653
47,1.034,-6.298,,,29.7,11.6,44.235,-0.064
48,1.029,-6.329,,,,,44.441,0.179
49,1.038,-6.339,,,18,8.5,44.126,0.108
50,1.024,-6.401,,,21,10.5,44.674,0.618
51,1.052,-4.818,,,18,5.3,43.153,0.213
52,1.019,-2.163,,,4.9,2.2,43.444,0.847
53,1.009,-2.829,,,20,10,44.394,0.992
54,1.029,-2.194,,,4.1,1.4,43.392,0.677
55,1.059,-1.226,,,6.8,3.4,41.946,0.178
56,0.975,-8.765,,,7.6,2.2,46.243,1.236
57,0.97,-9.421,,,6.7,2,46.83,1.262
