edge_i,edge_j,capacity
201.0,69.0,82.4
201.0,192.0,228.854767726161
201.0,204.0,8.8
213.0,214.0,495.20000000000005
112.0,110.0,15.200000000000001
112.0,114.0,20.8
155.0,164.0,528.8273838630811
155.0,161.0,132.8
155.0,156.0,300.027383863081
155.0,193.0,228.854767726161
7061.0,61.0,676.8000000000001
237.0,234.0,78.4
237.0,222.0,220.027383863081
237.0,219.0,374.40000000000003
237.0,241.0,1217.6273838630811
237.0,231.0,696.8000000000001
102.0,86.0,59.2
102.0,246.0,228.854767726161
102.0,98.0,19.200000000000003
102.0,100.0,63.2
102.0,97.0,64.8
102.0,104.0,64.8
160.0,124.0,55.2
160.0,158.0,169.627383863081
35.0,76.0,246.427383863081
35.0,77.0,96.0
35.0,36.0,124.0
35.0,72.0,87.2
528.0,70.0,51.2
52.0,51.0,48.0
52.0,55.0,62.400000000000006
187.0,188.0,984.8273838630811
187.0,181.0,1260.0273838630812
7.0,5.0,268.027383863081
7.0,131.0,92.80000000000001
7.0,12.0,358.40000000000003
7.0,3.0,672.027383863081
7.0,6.0,46.400000000000006
12.0,10.0,355.227383863081
12.0,7012.0,640.0
12.0,21.0,871.2273838630811
235.0,234.0,22.400000000000002
235.0,76.0,228.854767726161
235.0,139.0,228.854767726161
235.0,238.0,462.40000000000003
140.0,146.0,191.227383863081
140.0,142.0,1.6
140.0,230.0,228.854767726161
140.0,147.0,101.60000000000001
140.0,2040.0,228.854767726161
140.0,182.0,256.0
140.0,141.0,127.2
140.0,137.0,628.8000000000001
140.0,145.0,136.027383863081
664.0,7024.0,228.854767726161
664.0,194.0,204.8
7001.0,1.0,784.8000000000001
7001.0,87.0,228.854767726161
9054.0,9005.0,96.0
9054.0,168.0,228.854767726161
250.0,249.0,155.227383863081
220.0,221.0,121.60000000000001
220.0,238.0,592.0
220.0,217.0,68.8
220.0,218.0,198.427383863081
38.0,37.0,52.0
38.0,33.0,168.8
38.0,43.0,92.0
38.0,41.0,152.0
166.0,7166.0,999.2273838630811
166.0,165.0,998.427383863081
104.0,322.0,4.800000000000001
104.0,108.0,158.427383863081
10.0,11.0,36.0
92.0,90.0,112.0
92.0,105.0,237.60000000000002
92.0,103.0,135.20000000000002
135.0,136.0,383.20000000000005
135.0,134.0,192.82738386308102
189.0,209.0,21.6
189.0,208.0,42.400000000000006
189.0,210.0,34.4
161.0,37.0,228.854767726161
