from_node,to_node,distance
8,11,0.1019833
19,22,0.1139948
15,20,0.1289382
7,14,0.1464609
16,22,0.1493465
1,4,0.1496566
2,5,0.1533753
4,5,0.160731
9,10,0.1615677
8,13,0.1668115
15,23,0.1727863
13,19,0.173297
23,24,0.2006218
5,9,0.2022769
5,6,0.2096777
13,15,0.2127455
7,16,0.2196788
20,21,0.2208231
18,22,0.2444904
3,4,0.2548352
15,19,0.2556036
9,13,0.2562882
15,22,0.3049402
6,9,0.308983
11,19,0.3090705
8,16,0.3147518
12,24,0.3174933
12,20,0.3213174
17,19,0.3234099
16,21,0.325727
3,12,0.3280218
13,16,0.3302403
11,16,0.3346794
13,21,0.3351361
8,12,0.3359305
16,18,0.3386752
17,21,0.3389989
13,20,0.3400311
7,22,0.3411702
2,9,0.344696
8,22,0.3450709
3,23,0.3452103
7,13,0.3480547
5,12,0.350407
4,12,0.3506631
9,23,0.3521919
18,19,0.3542329
20,22,0.3604223
9,15,0.3620941
20,24,0.3635854
12,19,0.3641915
4,6,0.3698434
8,14,0.3711059
6,11,0.3748481
4,10,0.3764796
8,15,0.378429
21,23,0.3832829
6,8,0.3836563
10,19,0.3882762
1,9,0.3890766
3,5,0.391777
7,10,0.3968495
7,17,0.4018168
11,22,0.4030071
14,17,0.405959
2,10,0.4064368
14,19,0.406674
2,3,0.412494
19,23,0.4215611
18,20,0.4232843
10,15,0.4235374
14,22,0.4247183
9,19,0.4294532
9,24,0.4318072
11,12,0.4319375
1,24,0.4381248
12,21,0.4382097
5,8,0.4394655
15,18,0.4425659
1,12,0.4458835
5,13,0.4467655
4,24,0.4496598
8,21,0.4580475
12,22,0.4581828
6,12,0.464681
6,13,0.4680237
10,23,0.4707117
9,20,0.4759618
2,12,0.4766677
5,11,0.4775639
22,23,0.4777247
11,15,0.4785038
4,23,0.4841211
8,23,0.4899651
13,14,0.4903524
3,15,0.490893
13,17,0.4962882
10,16,0.4968381
16,20,0.5012216
10,22,0.5020656
8,20,0.5038382
13,24,0.5041901
13,18,0.5085887
7,21,0.5089514
4,13,0.5098557
8,17,0.5114265
1,6,0.5124501
3,10,0.5157918
1,10,0.522637
15,17,0.5242328
7,9,0.5266404
7,15,0.5271784
5,23,0.5279859
3,20,0.5314986
1,23,0.5319605
11,17,0.5337381
12,16,0.5337764
3,13,0.5360048
10,14,0.5364461
11,21,0.5377518
9,22,0.5389503
6,7,0.5459769
7,12,0.5478912
4,8,0.5487921
5,24,0.5505781
10,20,0.5508351
17,20,0.5563457
7,18,0.557749
9,21,0.5617642
5,15,0.5627601
4,15,0.5672763
10,21,0.575209
9,16,0.5760879
21,24,0.5770283
10,24,0.5832802
8,18,0.5894464
11,23,0.5916105
2,8,0.5918483
3,6,0.594468
16,23,0.5954137
18,23,0.5958692
2,13,0.5966884
14,21,0.6010568
14,18,0.6013353
11,20,0.6023467
4,11,0.6057848
6,19,0.6097973
2,24,0.611463
5,19,0.6161043
19,24,0.6179881
2,11,0.6242956
1,13,0.6304914
2,23,0.6332364
7,20,0.6344821
3,8,0.6414171
6,15,0.6431353
11,18,0.6448826
12,18,0.6451237
1,15,0.649144
5,7,0.6493922
8,24,0.6506606
4,20,0.654554
14,15,0.6563125
6,23,0.6604607
6,14,0.6622368
5,20,0.6717216
9,14,0.6718447
7,23,0.6727638
22,24,0.6782944
12,17,0.682169
4,19,0.6829281
1,8,0.6887398
10,17,0.6896358
3,19,0.6898086
12,14,0.6931215
2,15,0.6945003
6,16,0.6955944
17,23,0.6958784
1,20,0.7153497
3,21,0.7182442
6,22,0.7222621
3,11,0.7252266
6,24,0.7275869
5,22,0.728792
10,18,0.740195
5,16,0.7450312
11,24,0.7486271
1,11,0.7513673
9,17,0.7516156
14,20,0.7542409
9,18,0.7552402
5,21,0.7634033
6,20,0.7672817
2,19,0.7675807
4,7,0.7704011
3,22,0.7761297
5,14,0.7852021
18,24,0.7858924
4,21,0.7886512
4,22,0.7895229
16,24,0.7930458
2,20,0.7938477
2,7,0.7977313
1,19,0.8006437
6,21,0.8031217
14,23,0.8098199
4,16,0.8327202
7,24,0.8522337
3,16,0.861384
3,7,0.8637841
1,21,0.8774503
2,22,0.8795956
6,17,0.894075
17,24,0.8961301
2,16,0.8984065
1,22,0.9015592
2,21,0.9048347
4,14,0.9122515
1,7,0.9126313
2,14,0.9302128
5,17,0.9319118
3,18,0.9323332
5,18,0.9531779
1,16,0.959295
6,18,0.9637747
4,18,0.9931921
14,24,0.9938695
3,17,1.0011854
4,17,1.0061428
3,14,1.0102259
1,14,1.0560814
2,17,1.0848232
1,18,1.0883558
2,18,1.0999001
1,17,1.1232626000000001
