scenario,node1,node2
0,15.0,21.0
0,9.0,11.0
0,5.0,10.0
1,9.0,11.0
1,15.0,21.0
2,10.0,12.0
3,18.0,21.0
3,10.0,12.0
4,15.0,21.0
5,5.0,10.0
5,18.0,21.0
6,16.0,19.0
6,17.0,22.0
6,6.0,10.0
7,18.0,21.0
7,14.0,16.0
7,10.0,11.0
8,9.0,12.0
9,19.0,20.0
9,21.0,22.0
10,17.0,22.0
10,5.0,10.0
11,11.0,14.0
11,1.0,2.0
11,15.0,16.0
12,17.0,18.0
12,14.0,16.0
13,5.0,10.0
13,7.0,8.0
13,16.0,19.0
14,12.0,13.0
15,20.0,23.0
16,10.0,11.0
16,1.0,5.0
16,7.0,8.0
17,19.0,20.0
17,2.0,4.0
18,15.0,24.0
18,11.0,14.0
19,11.0,14.0
19,19.0,20.0
19,12.0,13.0
20,10.0,11.0
20,12.0,13.0
21,12.0,13.0
21,6.0,10.0
22,3.0,9.0
23,14.0,16.0
23,10.0,11.0
24,16.0,19.0
25,18.0,21.0
25,12.0,13.0
25,21.0,22.0
26,10.0,11.0
26,13.0,23.0
27,19.0,20.0
27,16.0,17.0
27,1.0,5.0
28,10.0,12.0
28,12.0,23.0
29,5.0,10.0
29,15.0,24.0
29,2.0,4.0
30,2.0,6.0
31,1.0,3.0
31,11.0,14.0
31,17.0,22.0
32,15.0,16.0
32,1.0,2.0
33,12.0,23.0
33,12.0,13.0
34,8.0,10.0
34,20.0,23.0
35,1.0,2.0
36,3.0,9.0
36,2.0,6.0
36,21.0,22.0
37,19.0,20.0
37,1.0,2.0
37,9.0,11.0
38,5.0,10.0
39,13.0,23.0
40,3.0,9.0
40,10.0,12.0
41,2.0,4.0
42,3.0,9.0
42,8.0,9.0
42,15.0,16.0
43,19.0,20.0
43,3.0,24.0
43,13.0,23.0
44,1.0,3.0
44,14.0,16.0
44,16.0,19.0
45,5.0,10.0
45,12.0,13.0
46,3.0,24.0
46,10.0,11.0
47,12.0,13.0
47,10.0,12.0
48,8.0,10.0
49,5.0,10.0
49,11.0,14.0
49,1.0,2.0
