label,x,y
1,0.9935155118022909,0.8616743845141231
2,0.7866756062388309,1
3,1,0.6469504820065023
4,0.8444155749417275,0.8487782938405146
5,0.6873909268777871,0.8830961054818641
6,0.4888007291784617,0.9503767049654864
7,0.144652117290826,0.5265223600434535
8,0.3612475509597379,0.5885448143861965
9,0.6469100578872516,0.68491120084091
10,0.4897637037102423,0.7224496428595786
11,0.2747863003987768,0.6426285036769024
12,0.6925082017671278,0.5327264687501302
13,0.4898929548617011,0.4823543202350522
14,0,0.5035753718953426
15,0.631029592985534,0.3231654727845128
16,0.20502120713987554,0.31530127307027345
17,0.1458137647783254,0.12470722374982157
18,0.3286578540235548,0
19,0.3769380798496262,0.3509273444837448
20,0.6953600148056056,0.21142176020983353
21,0.48406101035047566,0.14726895036580134
22,0.33644651566166617,0.24436631575565895
23,0.7981976438081494,0.3668684531300714
24,0.9906431732675375,0.42355901978151855
