edge_i,edge_j,capacity
201.0,69.0,172.223960880196
201.0,204.0,7.699999999999999
213.0,214.0,533.423960880196
112.0,110.0,113.42396088019599
112.0,114.0,118.323960880196
155.0,164.0,362.59999999999997
155.0,161.0,116.19999999999999
155.0,156.0,262.523960880196
7061.0,61.0,592.1999999999999
237.0,234.0,168.723960880196
237.0,222.0,92.39999999999999
237.0,219.0,327.59999999999997
237.0,27.0,200.247921760391
237.0,241.0,965.3
237.0,231.0,609.6999999999999
102.0,86.0,151.92396088019598
102.0,246.0,200.247921760391
102.0,98.0,16.799999999999997
102.0,100.0,55.3
102.0,97.0,56.699999999999996
102.0,104.0,56.699999999999996
160.0,124.0,48.3
160.0,158.0,48.3
35.0,76.0,215.62396088019597
35.0,77.0,84.0
35.0,36.0,108.5
35.0,72.0,176.42396088019598
528.0,70.0,144.92396088019598
52.0,51.0,42.0
52.0,55.0,54.599999999999994
187.0,188.0,861.7239608801959
187.0,181.0,1002.4
7.0,5.0,134.39999999999998
7.0,131.0,81.19999999999999
7.0,531.0,200.247921760391
7.0,526.0,200.247921760391
7.0,12.0,313.59999999999997
7.0,3.0,588.023960880196
7.0,6.0,140.723960880196
12.0,37.0,200.247921760391
12.0,10.0,310.82396088019595
12.0,7012.0,560.0
12.0,21.0,662.1999999999999
235.0,234.0,119.72396088019599
235.0,238.0,504.72396088019593
140.0,146.0,67.19999999999999
140.0,142.0,1.4
140.0,147.0,88.89999999999999
140.0,182.0,324.123960880196
140.0,141.0,211.42396088019598
140.0,137.0,550.1999999999999
140.0,145.0,18.9
6.0,2.0,230.29999999999998
7001.0,1.0,686.6999999999999
9054.0,9005.0,84.0
250.0,249.0,135.82396088019598
220.0,221.0,106.39999999999999
220.0,238.0,618.123960880196
220.0,217.0,60.199999999999996
220.0,218.0,73.5
220.0,324.0,200.247921760391
38.0,37.0,145.623960880196
38.0,33.0,147.7
38.0,43.0,80.5
38.0,41.0,133.0
166.0,7166.0,774.1999999999999
166.0,165.0,773.5
104.0,322.0,4.199999999999999
104.0,108.0,38.5
10.0,11.0,31.499999999999996
92.0,90.0,98.0
92.0,105.0,308.023960880196
92.0,103.0,118.3
135.0,136.0,335.29999999999995
135.0,134.0,68.6
189.0,209.0,119.023960880196
189.0,208.0,37.099999999999994
189.0,210.0,30.099999999999998
161.0,153.0,172.89999999999998
7003.0,319.0,200.247921760391
7003.0,3.0,1798.3
192.0,225.0,66.5
192.0,191.0,1222.8999999999999
249.0,248.0,10.5
17.0,15.0,380.82396088019595
17.0,7017.0,611.0999999999999
218.0,217.0,23.099999999999998
218.0,219.0,210.723960880196
123.0,125.0,112.72396088019599
123.0,122.0,28.0
123.0,124.0,209.32396088019598
77.0,80.0,5.6
77.0,552.0,17.5
77.0,76.0,93.1
77.0,72.0,80.5
77.0,609.0,48.3
77.0,78.0,500.523960880196
169.0,133.0,249.223960880196
169.0,126.0,189.023960880196
169.0,167.0,58.8
153.0,15.0,200.247921760391
153.0,183.0,235.92396088019598
153.0,152.0,106.42396088019599
26.0,25.0,118.3
26.0,320.0,4.199999999999999
26.0,27.0,167.32396088019598
26.0,99.0,200.247921760391
26.0,116.0,200.247921760391
44.0,54.0,10.5
44.0,45.0,429.09999999999997
44.0,47.0,136.5
44.0,7044.0,163.123960880196
44.0,43.0,38.5
9004.0,9043.0,2.8
9004.0,9041.0,102.22396088019599
9004.0,9044.0,7.0
9004.0,9042.0,1.4
190.0,231.0,1000.323960880196
190.0,142.0,200.247921760391
190.0,229.0,49.0
190.0,240.0,152.623960880196
7055.0,55.0,175.723960880196
9072.0,9007.0,102.22396088019599
9072.0,120.0,200.247921760391
121.0,115.0,105.0
121.0,118.0,173.623960880196
121.0,119.0,874.3
215.0,216.0,340.923960880196
215.0,214.0,408.79999999999995
215.0,212.0,191.82396088019598
216.0,217.0,39.19999999999999
216.0,162.0,200.247921760391
9071.0,9007.0,102.22396088019599
9071.0,210.0,200.247921760391
142.0,175.0,266.0
142.0,143.0,455.72396088019593
126.0,127.0,45.5
126.0,158.0,117.6
126.0,125.0,627.9
126.0,129.0,154.7
126.0,157.0,100.8
126.0,132.0,214.89999999999998
177.0,178.0,310.82396088019595
177.0,176.0,232.42396088019598
7071.0,125.0,200.247921760391
7071.0,71.0,217.0
7011.0,11.0,354.2
210.0,198.0,147.7
210.0,199.0,151.92396088019598
210.0,200.0,35.0
210.0,196.0,27.299999999999997
225.0,7057.0,200.247921760391
225.0,191.0,1043.023960880196
225.0,224.0,226.1
233.0,232.0,123.89999999999999
7017.0,320.0,200.247921760391
171.0,133.0,1234.8239608801957
171.0,62.0,200.247921760391
58.0,59.0,131.623960880196
58.0,57.0,9.1
131.0,137.0,200.247921760391
131.0,130.0,181.32396088019598
14.0,15.0,226.82396088019598
14.0,8.0,390.59999999999997
531.0,72.0,22.4
231.0,228.0,21.7
231.0,227.0,430.523960880196
231.0,226.0,118.3
231.0,232.0,830.1999999999999
9052.0,9005.0,47.599999999999994
24.0,319.0,284.223960880196
24.0,7024.0,705.623960880196
24.0,21.0,312.2
24.0,23.0,207.223960880196
88.0,74.0,186.89999999999998
88.0,81.0,396.22396088019593
88.0,36.0,208.623960880196
116.0,120.0,107.1
116.0,124.0,207.223960880196
133.0,128.0,219.12396088019597
133.0,168.0,115.49999999999999
133.0,129.0,196.0
133.0,137.0,954.823960880196
239.0,42.0,200.247921760391
239.0,127.0,200.247921760391
239.0,238.0,1008.7239608801959
203.0,198.0,119.69999999999999
203.0,211.0,52.5
203.0,150.0,200.247921760391
9031.0,9003.0,103.623960880196
54.0,53.0,54.599999999999994
54.0,55.0,60.9
114.0,207.0,139.32396088019598
114.0,109.0,108.523960880196
9012.0,9002.0,23.799999999999997
9012.0,9121.0,6.3
9012.0,9001.0,118.323960880196
9032.0,9003.0,102.92396088019599
198.0,197.0,149.79999999999998
198.0,211.0,77.69999999999999
198.0,209.0,78.39999999999999
198.0,202.0,119.72396088019599
526.0,63.0,237.99999999999997
178.0,180.0,345.09999999999997
178.0,179.0,26.599999999999998
178.0,148.0,161.7
212.0,195.0,105.69999999999999
212.0,211.0,296.123960880196
207.0,206.0,106.42396088019599
113.0,47.0,57.4
113.0,109.0,14.7
138.0,188.0,847.6999999999999
138.0,181.0,758.0999999999999
164.0,163.0,262.5
164.0,162.0,633.5
7062.0,62.0,598.5
664.0,11.0,200.247921760391
664.0,194.0,179.2
181.0,137.0,128.79999999999998
9025.0,182.0,200.247921760391
9025.0,9023.0,101.523960880196
186.0,188.0,1130.5239608801958
186.0,137.0,827.423960880196
3.0,1.0,62.99999999999999
3.0,4.0,875.6999999999999
3.0,150.0,168.0
3.0,19.0,213.5
3.0,2.0,39.9
196.0,197.0,97.3
196.0,2040.0,66.5
196.0,193.0,142.123960880196
9055.0,9005.0,114.123960880196
