edge_i,edge_j,capacity
1.0,2.0,38.400000000000006
1.0,3.0,37.6
30.0,28.0,26.5170731707317
30.0,27.0,21.6390243902439
30.0,29.0,7.2
7.0,5.0,35.2390243902439
7.0,6.0,24.8390243902439
12.0,15.0,20.039024390243902
12.0,16.0,18.4390243902439
12.0,4.0,20.0
12.0,13.0,38.4390243902439
12.0,14.0,17.6390243902439
3.0,4.0,41.639024390243904
6.0,8.0,52.0390243902439
6.0,4.0,32.0
6.0,10.0,16.8390243902439
6.0,28.0,9.600000000000001
6.0,2.0,39.2
6.0,9.0,22.4390243902439
19.0,20.0,19.239024390243898
19.0,18.0,16.0390243902439
19.0,8.0,17.6780487804878
2.0,5.0,26.4
2.0,4.0,33.6
13.0,8.0,17.6780487804878
20.0,10.0,23.239024390243898
8.0,28.0,20.8390243902439
21.0,10.0,16.8390243902439
21.0,22.0,40.0
21.0,27.0,26.5170731707317
11.0,9.0,0.8000000000000007
17.0,10.0,22.4390243902439
17.0,16.0,12.039024390243899
9.0,10.0,13.600000000000001
9.0,23.0,17.6780487804878
10.0,22.0,9.600000000000001
27.0,28.0,20.8
27.0,25.0,27.200000000000003
27.0,29.0,20.039024390243902
26.0,25.0,6.4
15.0,18.0,22.4390243902439
15.0,14.0,12.039024390243899
15.0,23.0,28.8390243902439
25.0,24.0,20.8
24.0,22.0,17.6390243902439
24.0,23.0,12.8390243902439
