scenario,type,value
28,1depth,1000.0
43,1depth,1000.0
23,1depth,1000.0
24,1depth,1000.0
25,1depth,1000.0
26,1depth,1000.0
27,1depth,1000.0
20,1depth,1000.0
21,1depth,1000.0
48,1depth,1000.0
49,1depth,1000.0
46,1depth,1000.0
47,1depth,1000.0
44,1depth,1000.0
45,1depth,1000.0
42,1depth,1000.0
29,1depth,1000.0
40,1depth,1000.0
41,1depth,1000.0
1,1depth,1000.0
0,1depth,1000.0
3,1depth,1000.0
2,1depth,1000.0
5,1depth,1000.0
4,1depth,1000.0
7,1depth,1000.0
6,1depth,1000.0
9,1depth,1000.0
8,1depth,1000.0
39,1depth,1000.0
12,1depth,1000.0
14,1depth,1000.0
11,1depth,1000.0
10,1depth,1000.0
13,1depth,1000.0
38,1depth,1000.0
15,1depth,1000.0
22,1depth,1000.0
17,1depth,1000.0
16,1depth,1000.0
19,1depth,1000.0
32,1depth,1000.0
31,1depth,1000.0
30,1depth,1000.0
37,1depth,1000.0
36,1depth,1000.0
35,1depth,1000.0
34,1depth,1000.0
33,1depth,1000.0
18,1depth,1000.0
28,fullcascade,2503.0
43,fullcascade,1474.9999999999998
23,fullcascade,1681.0
24,fullcascade,2132.0
25,fullcascade,1647.0
26,fullcascade,1927.9999999999998
27,fullcascade,2485.0
20,fullcascade,2560.0000000000005
21,fullcascade,1645.0
48,fullcascade,2075.0
49,fullcascade,1972.0
46,fullcascade,1556.0
47,fullcascade,2059.0
44,fullcascade,2238.0
45,fullcascade,1965.0
42,fullcascade,1481.9999999999998
29,fullcascade,2342.0
40,fullcascade,1305.0000000000002
41,fullcascade,1744.0000000000002
1,fullcascade,1718.0
0,fullcascade,1806.0
3,fullcascade,2169.0
2,fullcascade,2164.0
5,fullcascade,1577.0000000000002
4,fullcascade,1552.0
7,fullcascade,2187.9999999999995
6,fullcascade,1921.9999999999998
9,fullcascade,2146.0
8,fullcascade,1638.0
39,fullcascade,2329.0
12,fullcascade,1725.0000000000005
14,fullcascade,2111.0
11,fullcascade,1699.0
10,fullcascade,1621.0
13,fullcascade,1907.9999999999998
38,fullcascade,2404.9999999999995
15,fullcascade,1999.0
22,fullcascade,1929.0
17,fullcascade,1968.0
16,fullcascade,2140.0
19,fullcascade,2005.0
32,fullcascade,2502.0
31,fullcascade,2453.0
30,fullcascade,2156.0000000000005
37,fullcascade,2147.0
36,fullcascade,1379.0000000000002
35,fullcascade,1941.0
34,fullcascade,1700.0
33,fullcascade,1995.0000000000002
18,fullcascade,2217.0
