line_upgrade_cost_coef_scale,line_establish_cost_coef_scale,line_upgrade_capacity_coef_scale,line_establish_capacity_coef_scale,set_decision_var_priorities,runtime,net_runtime_simulations,best_incumbent
1.0,1.0,19.0871794871795,38.174358974359,True,592.8069662640739,334.87096932014146,997.6619999999998
1.0,1.0,19.0871794871795,38.174358974359,True,731.2666814387981,461.9495467240711,997.6619999999998
1.0,1.0,19.0871794871795,38.174358974359,True,803.1291447419509,524.7267561508905,1051.3019999999997
1.0,1.0,19.0871794871795,38.174358974359,True,905.0570125573546,612.4665446780643,1071.1279999999997
1.0,1.0,19.0871794871795,38.174358974359,True,1119.852094746061,799.3382706195669,1128.7639999999997
1.0,1.0,19.0871794871795,38.174358974359,True,1198.3994135900004,867.187843768497,1135.4519999999998
1.0,1.0,19.0871794871795,38.174358974359,True,1269.172653599114,926.916151562067,1189.2359999999999
1.0,1.0,19.0871794871795,38.174358974359,True,1455.2112023196987,1075.6291517108316,1210.1019999999996
1.0,1.0,19.0871794871795,38.174358974359,True,1483.027601319707,1097.8772327796814,1210.1019999999996
1.0,1.0,19.0871794871795,38.174358974359,True,1490.4302595637935,1104.1657856958168,1210.368
1.0,1.0,19.0871794871795,38.174358974359,True,2899.541638779291,1334.0065638325318,1216.8999999999999
1.0,1.0,19.0871794871795,38.174358974359,True,3092.109591199754,1491.6130718002373,1216.8999999999999
1.0,1.0,19.0871794871795,38.174358974359,True,3145.883000168675,1535.9803215868328,1216.8999999999999
1.0,1.0,19.0871794871795,38.174358974359,True,3200.832255906411,1582.0705458397333,1216.8999999999999
1.0,1.0,19.0871794871795,38.174358974359,True,3582.399746674066,1896.782386594261,1216.8999999999999
1.0,1.0,19.0871794871795,38.174358974359,True,3601.5834972916655,NA,1216.9000000000065
