label,x,y
1,0.22255663822944927,0.29694159415986937
2,0.08036652662004182,0.3406270794308764
3,0.17858392096005518,0.4615120479099423
4,0.34010355886908883,0.5335404920381
5,0.38874000045642465,0.6644394864484955
6,0.5573133836899464,0.6165322331767069
7,0.7674407158973195,0.6042551194747995
8,0.6667808168253055,0.4507293349686991
9,0.6369836260670745,0.2333544164454085
10,0.6762741203441723,0.16490659002469593
11,0.5460433460840878,0.12223347933472298
12,0.46811026969400266,0.16163097466991094
13,0.48785602054890753,0.29567926610784784
14,0.5401499289417465,0.3925097967351899
15,0.35610901191027394,0.4674720581829371
16,0.2809722285367652,0.14625196739780752
17,0.3210440305158855,0.23293451401504764
18,0.31117553990875785,0.34622737988369195
19,0.10138822131914794,0.3959110866459086
20,0,0.504553321833158
21,0.0622895651752109,0.6167393148588687
22,0.24299111233371606,0.6320504315546306
23,0.1700196415356322,0.7392489994344958
24,0.3238382227403202,0.7086475027356126
25,0.39525963206798137,0.8278311624260671
26,0.47167367259009435,0.8042270205793834
27,0.6436969920647813,0.7573725876631888
28,0.8111905662524321,0.6945242512529848
29,0.9484263658339689,0.6156380851162317
30,0.3307009453951973,0.8809889141302463
31,0.4644831104088138,0.9757568191570464
32,0.6326224097154725,0.9652079968770776
33,0.7520186735060469,1
34,0.7173328195611612,0.8374451517519264
35,0.557146846937624,0.7663329285094055
36,0.5464048555278199,0.5717662128393873
37,0.7001277545185891,0.5965465710812494
38,0.4772759089563865,0.5591271468154869
39,0.9134813776639676,0.5213383541887631
40,0.6707964976059393,0.40057141843643695
41,0.6555849902929349,0.11192239576326424
42,0.535277369863915,0.22887097982584287
43,0.589690155958627,0
44,0.383413504060531,0.39917009248922686
45,0.22813390386159657,0.3922481815765239
46,0.7529984861412512,0.4073941405508718
47,0.8687169495406787,0.5079315333785317
48,0.6781828838656706,0.5494098438160708
49,0.5719503662335751,0.4438277940340758
50,0.7875707080677876,0.49130940142449325
51,0.8129139203756468,0.30159428164265034
52,1,0.4564981668579265
53,0.9622834960855822,0.2883624352383491
54,0.9677826496990111,0.16164750090582639
55,0.8167594963961664,0.13763959717811847
56,0.7658570143671587,0.25385465985049527
57,0.9359172464788278,0.3631940887780073
