from_node,to_node,distance
6,36,0.04607594
39,47,0.04672897
8,40,0.05031841
37,48,0.0519947
10,41,0.05688027
2,19,0.05914586
14,49,0.06037222
51,56,0.06703301
7,37,0.06775291
4,15,0.0679795
36,38,0.07027487
15,44,0.07355742
5,24,0.07852763
53,57,0.07934076
25,26,0.07997663
13,42,0.0819276
40,46,0.08248464
47,50,0.0828312
3,45,0.08516269
27,35,0.08701273
11,12,0.08732541
18,44,0.08956146
46,50,0.09075797
26,35,0.09349666
12,42,0.09504019
8,49,0.09508126
1,45,0.09546964
16,17,0.09549667
8,46,0.09649573
6,38,0.09849539
8,48,0.09933705
7,28,0.10031234
29,39,0.10056635
3,19,0.1013048
1,18,0.10140216
9,42,0.10180503
7,48,0.10476147
11,42,0.10717958
40,49,0.10789658
27,34,0.1087835
22,24,0.1113704
17,18,0.11372186
7,50,0.11472555
46,51,0.12158729
9,41,0.12284847
48,50,0.12386023
10,56,0.12624125
19,45,0.1267986
55,56,0.12687397
8,50,0.12742425
15,18,0.12930309
39,50,0.12944201
36,49,0.13046383
9,56,0.13049372
14,40,0.13089506
36,48,0.13366097
29,47,0.13399363
37,50,0.13682519
10,11,0.13704397
51,57,0.13756582
5,38,0.13758378
6,48,0.13825647
4,22,0.13832945
8,14,0.13937323
4,38,0.13953828
7,47,0.13976805
4,44,0.14117774
10,55,0.14310706
6,37,0.144206
13,44,0.14703262
40,50,0.14788373
28,37,0.14810325
40,48,0.14902159
5,22,0.14930435
8,37,0.1495817
6,35,0.14980079
51,53,0.1499545
15,38,0.15192785
46,56,0.15407697
10,42,0.15482741
1,19,0.15645046
2,45,0.15652455
14,44,0.15687787
47,57,0.15957697
26,30,0.16051697
46,48,0.1605174
5,26,0.16253784
21,23,0.16313918
41,55,0.16321334
25,31,0.16332143
5,25,0.1635217
14,42,0.16371134
51,55,0.16399978
33,34,0.16621428
7,39,0.16793768
1,3,0.17034387
27,37,0.17043896
9,40,0.1706014
8,36,0.1707053
26,31,0.17168045
40,51,0.17318728
6,49,0.17332358
3,18,0.17570171
4,24,0.17586082
14,38,0.17808561
13,17,0.17822218
14,36,0.17936551
4,45,0.18027956
3,22,0.18229544
2,20,0.18256668
5,36,0.18288396
3,20,0.18369749
13,18,0.18376916
17,45,0.18442651
46,49,0.18467765
10,43,0.18625511
9,14,0.18629868
46,57,0.1881832
9,51,0.18870121
37,47,0.19045982
1,44,0.19059275
12,41,0.19395286
3,21,0.19395845
28,47,0.19525913
50,57,0.19601079
37,46,0.19640254
39,46,0.19681982
5,35,0.19683277
28,48,0.19684825
7,27,0.19686917
7,46,0.19739003
37,40,0.19815798
37,49,0.19938021
5,15,0.19965207
15,22,0.19970403
28,39,0.20113867
16,18,0.20224343
12,43,0.20225291
29,50,0.20330313
54,57,0.20405007
6,26,0.20630922
27,32,0.20813026
51,54,0.2087329
8,51,0.20879691
14,48,0.20897541
9,46,0.20916327
53,55,0.2095104
27,36,0.20956022
4,36,0.20981285
8,47,0.20988162
27,48,0.2108027
13,40,0.21087812
32,35,0.21271543
47,51,0.21374995
3,44,0.2141067
24,38,0.21424159
23,30,0.21426312
17,42,0.21427187
50,52,0.21526269
15,49,0.21713254
42,49,0.2180627
8,38,0.21831673
40,42,0.21873837
9,49,0.22029155
8,56,0.22039903
35,37,0.2219706
54,56,0.22198226
35,38,0.22206666
7,36,0.22341079
5,30,0.2241923
19,21,0.22426282
6,14,0.22467896
40,47,0.22516372
7,40,0.22544879
26,32,0.22763868
42,44,0.22817629
31,35,0.22900859
10,13,0.22935316
2,18,0.23087695
5,23,0.23116024
14,18,0.23360508
42,43,0.23525024
10,40,0.23572848
8,13,0.23675854
39,48,0.23696706
15,17,0.23714429
36,44,0.23739335
39,53,0.2380324
9,43,0.23809863
50,56,0.23844546
7,34,0.23851288
47,53,0.23867402
22,45,0.24026206
24,35,0.24033419
46,53,0.24076703
34,37,0.2415122
39,51,0.24166355
12,14,0.24185686
23,25,0.24203275
12,18,0.24228979
51,52,0.24289178
6,40,0.24396207
26,36,0.24417776
4,14,0.24476153
26,38,0.24516389
41,51,0.24643015
26,34,0.24789486
22,25,0.24802378
35,48,0.24840561
4,49,0.24859869
13,41,0.24879629
29,37,0.2490315
38,40,0.25018021
6,15,0.25040394
11,17,0.25075767
6,24,0.25098979
16,45,0.25160689
46,52,0.25183517
12,44,0.25218718
29,57,0.25275373
7,49,0.2528901
30,35,0.25381832
36,50,0.2542327
20,45,0.25427844
10,46,0.25433608
55,57,0.25509488
13,16,0.25520466
11,56,0.25620731
8,39,0.25660631
8,42,0.25790364
25,27,0.25823542
27,38,0.25883823
14,37,0.25927574
24,36,0.26128987
6,50,0.26210531
13,38,0.26366024
2,17,0.26367281
22,30,0.26393822
28,35,0.26399753
36,46,0.26400588
1,4,0.26418993
15,19,0.26458204
14,56,0.2648942
10,14,0.26520372
1,13,0.26530239
5,44,0.26532287
7,35,0.26550467
43,55,0.26552805
6,28,0.26558686
27,33,0.26570971
11,16,0.26615707
6,25,0.26628679
14,50,0.26641772
4,23,0.26691671
16,42,0.26738924
40,57,0.26774256
50,53,0.26779102
3,17,0.26933728
18,38,0.27002897
11,14,0.27034056
14,17,0.27105657
39,40,0.27107306
11,55,0.27115417000000003
5,27,0.27136623
49,56,0.27145825
22,44,0.27194062
6,34,0.27277965
16,44,0.27287688
17,19,0.27351424
47,56,0.27410805
25,32,0.27425077
20,22,0.27440881
19,22,0.27534191
7,52,0.27552847
4,19,0.2755483
2,21,0.27670335
13,45,0.27709409
46,55,0.27718763
21,24,0.27722701
3,23,0.27786896
29,48,0.2782404
6,44,0.27836571
18,49,0.27844093
21,45,0.27910681
2,16,0.27932836
49,51,0.2798103
4,13,0.28001563
1,12,0.28036681
25,38,0.2809422
13,56,0.2811296
42,46,0.28155462
19,44,0.28204411
48,51,0.28207269
13,36,0.2822268
27,31,0.28250538
8,57,0.28301385
8,28,0.28335514
29,46,0.28558291
8,10,0.28598036
22,26,0.2862525
6,46,0.28641124
3,24,0.28666138
5,49,0.28676743
42,51,0.28700302
40,44,0.28738641
14,51,0.28751665
13,46,0.28771642
8,44,0.28801977
31,34,0.28820668
31,33,0.28855577
40,41,0.28904956
20,23,0.28980811
4,21,0.29000458
34,48,0.29068377
10,54,0.29152675
28,36,0.29185786
3,5,0.29213888
28,46,0.29296761
7,38,0.29365311
18,22,0.29384338
7,57,0.29409992
42,55,0.29589754
52,54,0.29660558
25,36,0.29734515
10,49,0.29779269
15,42,0.29838193
9,50,0.29869256
4,25,0.29941475
38,45,0.29986718
12,49,0.30069554
40,55,0.30072968
4,26,0.30096826
4,17,0.30120959
24,31,0.30187476
27,50,0.30247192
9,44,0.30297301
14,41,0.30340492
2,15,0.30351864
47,49,0.30361109
28,52,0.30381807
33,35,0.30426194
1,20,0.30435848
11,40,0.30501698
39,56,0.30551674
7,51,0.30605783
8,27,0.30751089
16,19,0.30753876
48,56,0.30828497
23,26,0.308573
2,44,0.30864989
26,37,0.30874332
43,56,0.30899345
22,36,0.30934461
52,56,0.30965679
7,14,0.31063996
41,46,0.31111564
8,15,0.31112263
28,33,0.31115389
5,14,0.31124062
5,48,0.31146268
10,53,0.31151679
12,56,0.31170231
14,45,0.31201613
40,53,0.3123388
13,43,0.31272419
12,40,0.31332769
30,32,0.31344764
3,38,0.31423814
6,22,0.31470511
38,46,0.3147155
24,44,0.31515945
37,51,0.31578089
34,36,0.31591402
9,17,0.31593987
5,45,0.31604181
41,54,0.31613283
