scenario,supply
24,17767.68
36,17924.350000000002
7,20545.640000000014
13,18552.15000000001
41,18212.780000000006
20,20872.54
17,17748.710000000006
2,18375.520000000004
19,20537.130000000005
46,18930.490000000005
25,17113.270000000004
31,22121.52999999999
6,19330.230000000003
23,19335.53000000001
38,21270.639999999996
42,20537.130000000005
21,17130.370000000006
35,18311.780000000002
33,19502.100000000002
16,19880.47000000001
1,18455.75000000001
47,19606.830000000005
30,16559.6
5,20656.230000000003
11,19798.43
29,21562.23
39,19567.260000000006
18,16803.65
26,19926.920000000006
34,16935.87
9,17466.290000000005
43,17968.110000000008
15,20860.869999999995
0,21032.94
48,18225.570000000003
12,20799.53
4,19580.289999999994
10,18394.670000000002
44,20962.939999999984
27,18566.140000000003
37,17574.470000000005
8,20448.600000000002
28,21564.829999999987
14,19304.330000000005
40,16005.000000000004
49,18907.920000000002
22,18320.90000000001
32,17451.000000000004
3,18704.63000000001
45,17527.789999999997
