scenario,supply
24,17561.090000000004
36,17353.31
7,18668.51
13,18652.609999999997
41,14687.689999999995
20,19003.930000000004
17,16042.059999999994
2,18631.88
19,18341.910000000003
46,15760.32
25,15895.360000000002
31,18057.170000000002
6,17977.710000000003
23,15780.100000000004
38,18614.420000000002
42,18231.95
21,17694.210000000006
35,18079.240000000005
33,18775.769999999997
16,15934.81
1,18929.41
47,18441.04
30,16289.789999999997
5,17126.229999999996
11,18092.59
29,17742.200000000004
39,18394.86
18,15381.510000000004
26,18242.510000000006
34,15089.74
9,17473.510000000002
43,16471.259999999995
15,16917.810000000005
0,18443.91
48,16412.91
12,18668.51
4,16051.480000000001
10,17542.960000000003
44,18509.130000000005
27,16745.44
37,18339.730000000003
8,18668.51
28,17044.119999999995
14,16537.91
40,14974.390000000001
49,17041.089999999997
22,16308.090000000004
32,15162.180000000008
3,17573.559999999998
45,17030.069999999996
