scenario,supply
24,17477.18000000001
36,19988.29999999999
7,19842.14
13,14909.33
41,13683.730000000003
20,17840.570000000003
17,14551.53
2,18411.679999999993
19,23646.739999999994
46,15181.680000000002
25,15438.830000000004
31,15993.130000000005
6,23646.739999999994
23,14743.840000000004
38,21241.239999999994
42,23646.739999999994
21,15156.210000000006
35,23646.739999999994
33,16394.240000000005
16,17672.08
1,23646.739999999994
47,23686.049999999996
30,19747.640000000003
5,17901.390000000003
11,16448.59999999999
29,18378.71000000001
39,17958.58
18,14857.130000000006
26,14836.5
34,14251.280000000002
9,17041.600000000002
43,15107.820000000002
15,15013.220000000003
0,23646.739999999994
48,17045.889999999992
12,15155.43
4,16825.570000000007
10,14973.160000000003
44,23646.739999999994
27,15599.330000000009
37,15462.350000000004
8,17635.530000000002
28,17109.520000000008
14,14945.800000000005
40,13367.080000000004
49,15494.690000000002
22,14961.600000000002
32,14031.890000000003
3,16205.740000000009
45,15501.360000000006
