scenario,supply
24,1250.7999999999997
36,1244.0999999999995
7,1008.8999999999999
13,1250.7999999999997
41,1250.7999999999997
20,1207.7999999999997
17,1244.9999999999998
2,1244.0999999999995
19,1244.0999999999995
46,1250.7999999999997
25,1244.0999999999995
31,1207.7999999999997
6,1244.0999999999995
23,1201.0999999999995
38,1250.7999999999997
42,1244.9999999999998
21,1238.2999999999995
35,1169.7999999999997
33,1201.0999999999997
16,959.9999999999998
1,1250.7999999999997
47,1250.7999999999997
30,1238.2999999999995
5,1250.7999999999997
11,1244.0999999999995
29,1004.8000000000002
39,1250.7999999999997
18,1244.0999999999995
26,1250.7999999999997
34,1244.9999999999998
9,1219.8999999999996
43,959.9999999999998
15,1200.2999999999995
0,1250.7999999999997
48,1185.0000000000007
12,1185.0000000000007
4,1250.7999999999997
10,1244.0999999999995
44,1250.7999999999997
27,1244.0999999999995
37,1250.7999999999997
8,1250.7999999999997
28,1244.0999999999995
14,1250.7999999999997
40,1244.0999999999995
49,1244.0999999999995
22,1244.0999999999995
32,908.0
3,1250.7999999999997
45,959.9999999999999
