scenario,type,value
28,1depth,17811.270904645535
43,1depth,17393.446943765324
23,1depth,17584.93317848416
24,1depth,19406.371295843543
25,1depth,18202.09882640594
26,1depth,17829.40337408316
27,1depth,18832.109217603942
20,1depth,18265.119217603955
21,1depth,17469.034865525726
48,1depth,19053.70713936437
49,1depth,18351.624865525737
46,1depth,18323.763178484143
47,1depth,18502.033374083152
44,1depth,18551.523374083143
45,1depth,17698.995256723756
42,1depth,18351.932982885148
29,1depth,17278.43902200496
40,1depth,19307.112787286114
41,1depth,18650.871100244538
1,1depth,18290.38902200497
0,1depth,17758.732982885136
3,1depth,19495.374865525737
2,1depth,18720.417139364337
5,1depth,17494.719022004963
4,1depth,18362.967334963367
7,1depth,17557.806943765325
6,1depth,17384.78506112473
9,1depth,18354.80298288513
8,1depth,18130.94110024452
39,1depth,17809.08110024454
12,1depth,19031.143178484144
14,1depth,18576.06110024454
11,1depth,17208.012982885124
10,1depth,18864.501295843573
13,1depth,16916.699022004967
38,1depth,17457.51317848415
15,1depth,18258.539022004952
22,1depth,18069.92902200495
17,1depth,19213.25317848416
16,1depth,17932.94129584355
19,1depth,18115.44486552571
32,1depth,17396.159217603963
31,1depth,17550.293178484146
30,1depth,18599.675061124755
37,1depth,18056.59921760398
36,1depth,18057.51694376534
35,1depth,18717.352982885124
34,1depth,19082.63674816632
33,1depth,18539.254865525723
18,1depth,18923.727139364342
28,fullcascade,23731.850000000002
43,fullcascade,23731.850000000002
23,fullcascade,23728.05
24,fullcascade,23731.850000000002
25,fullcascade,23427.50000000002
26,fullcascade,20035.829999999994
27,fullcascade,23727.6
20,fullcascade,23731.850000000002
21,fullcascade,23727.6
48,fullcascade,22347.69999999999
49,fullcascade,23705.45
46,fullcascade,23731.850000000002
47,fullcascade,23731.850000000002
44,fullcascade,23731.850000000002
45,fullcascade,23705.45
42,fullcascade,23731.4
29,fullcascade,23731.850000000002
40,fullcascade,21425.49999999998
41,fullcascade,20726.7
1,fullcascade,23731.850000000002
0,fullcascade,23731.850000000002
3,fullcascade,23731.850000000002
2,fullcascade,23731.850000000002
5,fullcascade,23731.850000000002
4,fullcascade,23731.850000000002
7,fullcascade,23731.850000000002
6,fullcascade,23731.850000000002
9,fullcascade,23731.850000000002
8,fullcascade,23705.45
39,fullcascade,23731.850000000002
12,fullcascade,23731.850000000002
14,fullcascade,22637.0
11,fullcascade,23727.6
10,fullcascade,23705.45
13,fullcascade,23731.850000000002
38,fullcascade,23731.850000000002
15,fullcascade,23731.850000000002
22,fullcascade,23731.850000000002
17,fullcascade,23731.4
16,fullcascade,23728.05
19,fullcascade,23731.850000000002
32,fullcascade,23170.85
31,fullcascade,23731.850000000002
30,fullcascade,23731.850000000002
37,fullcascade,23731.850000000002
36,fullcascade,23199.250000000004
35,fullcascade,23731.850000000002
34,fullcascade,22459.500000000004
33,fullcascade,23670.850000000002
18,fullcascade,20641.45
