scenario,supply
24,4216.0
36,1990.9999999999995
7,2905.000000000001
13,3539.0
41,4216.0
20,4216.0
17,4106.0
2,4216.0
19,4216.0
46,1832.9999999999998
25,3615.0
31,4203.0
6,3566.0000000000005
23,2234.0
38,4183.0
42,3684.0
21,2559.9999999999995
35,2167.0
33,4216.0
16,4216.0
1,4216.0
47,4015.0
30,4110.0
5,2376.9999999999995
11,3742.9999999999995
29,4147.0
39,2680.0
18,4216.0
26,4037.0
34,3777.9999999999995
9,4216.0
43,2220.0000000000005
15,4134.0
0,2368.9999999999995
48,4216.0
12,2817.9999999999995
4,3648.0
10,2076.0
44,3792.0000000000005
27,4216.0
37,4198.0
8,3968.0000000000005
28,4216.0
14,4216.0
40,2069.0
49,3874.0
22,3905.0
32,4139.0
3,4058.0
45,4216.0
