scenario,type,value
28,1depth,3511.5899999999997
43,1depth,3511.5899999999997
23,1depth,3511.5899999999997
24,1depth,3511.5899999999997
25,1depth,3511.5899999999997
26,1depth,3511.5899999999997
27,1depth,3511.5899999999997
20,1depth,3511.5899999999997
21,1depth,3511.5899999999997
48,1depth,3511.590000000005
49,1depth,3511.5899999999997
46,1depth,3511.5899999999997
47,1depth,3511.5899999999997
44,1depth,3511.5899999999997
45,1depth,3511.5899999999997
42,1depth,3511.5899999999997
29,1depth,3511.5899999999997
40,1depth,3511.5899999999997
41,1depth,3511.5899999999997
1,1depth,3511.5899999999997
0,1depth,3511.5899999999997
3,1depth,3511.5899999999997
2,1depth,3511.5899999999997
5,1depth,3511.5899999999997
4,1depth,3511.5899999999997
7,1depth,3511.5899999999997
6,1depth,3511.5899999999997
9,1depth,3511.5899999999997
8,1depth,3511.5899999999997
39,1depth,3511.5899999999997
12,1depth,3511.5899999999997
14,1depth,3511.5899999999997
11,1depth,3511.5899999999997
10,1depth,3511.5899999999997
13,1depth,3511.5899999999997
38,1depth,3511.5899999999997
15,1depth,3512.7799999999997
22,1depth,3511.5899999999997
17,1depth,3511.5899999999997
16,1depth,3511.5899999999997
19,1depth,3511.5899999999997
32,1depth,3511.590000000005
31,1depth,3511.5899999999997
30,1depth,3511.5899999999997
37,1depth,3511.5899999999997
36,1depth,3511.5899999999997
35,1depth,3511.5899999999997
34,1depth,3511.5899999999997
33,1depth,3511.5899999999997
18,1depth,3511.5899999999997
28,fullcascade,19591.35
43,fullcascade,18957.23
23,fullcascade,19004.11
24,fullcascade,18753.230000000003
25,fullcascade,14703.930000000002
26,fullcascade,19275.9
27,fullcascade,19491.350000000002
20,fullcascade,20102.05
21,fullcascade,19382.55
48,fullcascade,16028.399999999998
49,fullcascade,19275.790000000005
46,fullcascade,15353.59
47,fullcascade,20268.549999999996
44,fullcascade,18614.120000000003
45,fullcascade,20247.05
42,fullcascade,20159.46
29,fullcascade,19853.75
40,fullcascade,19076.54
41,fullcascade,15664.060000000001
1,fullcascade,19368.960000000003
0,fullcascade,19649.460000000003
3,fullcascade,19344.260000000002
2,fullcascade,19478.05
5,fullcascade,17986.83
4,fullcascade,16063.57
7,fullcascade,19250.35
6,fullcascade,16823.47
9,fullcascade,18845.25
8,fullcascade,19210.750000000004
39,fullcascade,20370.45000000001
12,fullcascade,20130.66
14,fullcascade,17840.340000000004
11,fullcascade,20259.660000000007
10,fullcascade,18176.14
13,fullcascade,19267.450000000004
38,fullcascade,19368.960000000003
15,fullcascade,21306.219999999987
22,fullcascade,18049.510000000002
17,fullcascade,19495.43
16,fullcascade,19715.05
19,fullcascade,19975.870000000003
32,fullcascade,21049.2
31,fullcascade,19731.55
30,fullcascade,20890.54
37,fullcascade,19798.46
36,fullcascade,21012.650000000005
35,fullcascade,19472.2
34,fullcascade,14312.15
33,fullcascade,16874.320000000007
18,fullcascade,16068.539999999995
