scenario,supply
24,23134.809999999998
36,22104.439999999995
7,23152.999999999996
13,23152.999999999996
41,20330.96
20,23152.999999999996
17,22685.000000000004
2,23152.999999999996
19,23152.999999999996
46,22599.99999999999
25,21767.639999999992
31,22858.800000000003
6,23152.999999999996
23,18037.640000000003
38,23152.999999999996
42,23152.999999999996
21,23152.999999999993
35,23152.999999999996
33,23152.999999999993
16,22789.859999999997
1,23152.999999999996
47,23153.000000000015
30,21712.579999999994
5,23152.999999999996
11,23152.999999999996
29,23152.999999999996
39,22563.000000000015
18,16920.030000000006
26,22929.539999999997
34,18935.79000000001
9,21037.0
43,22082.859999999993
15,22876.670000000016
0,23111.0
48,22251.00000000001
12,23152.999999999996
4,23152.999999999996
10,22918.999999999993
44,23072.699999999983
27,22918.999999999993
37,23152.999999999996
8,23152.999999999996
28,22520.39999999999
14,17847.590000000004
40,19630.54
49,22599.999999999993
22,21501.6
32,19393.75999999999
3,23152.999999999996
45,22173.410000000007
