scenario,supply
24,3822.0
36,3271.0
7,3491.0
13,3560.0000000000014
41,3423.0
20,4198.0
17,3619.999999999999
2,4242.0
19,4242.0
46,2438.0000000000005
25,3145.0
31,4181.0
6,3813.0
23,2635.0000000000005
38,4128.0
42,3862.0
21,2776.0
35,2431.9999999999995
33,4242.0
16,4242.0
1,4158.0
47,3458.9999999999995
30,3929.0000000000005
5,2741.0000000000005
11,3104.9999999999995
29,4155.0
39,3233.0
18,4153.0
26,3966.9999999999995
34,3050.9999999999995
9,4242.0
43,2885.0000000000005
15,3961.9999999999995
0,3217.0000000000005
48,4242.0
12,3093.0000000000005
4,3312.0
10,3267.0000000000005
44,3775.9999999999995
27,4242.0
37,4242.0
8,3097.0
28,4078.0
14,4242.0
40,3228.0000000000005
49,3487.000000000001
22,3891.0
32,3366.0000000000005
3,3719.9999999999995
45,4177.0
