scenario,supply
24,1235.7999999999997
36,1250.7999999999997
7,1248.4999999999995
13,1250.7999999999997
41,1221.0999999999995
20,1207.7999999999997
17,1235.7999999999997
2,1196.7999999999997
19,1250.7999999999997
46,1193.0999999999995
25,1244.0999999999995
31,1207.7999999999997
6,1226.5999999999995
23,1193.4999999999995
38,1248.4999999999995
42,1221.0999999999995
21,1196.7999999999997
35,1100.9999999999995
33,1204.9999999999995
16,823.9999999999999
1,1221.0999999999995
47,1250.7999999999997
30,1241.7999999999995
5,1250.7999999999997
11,1250.7999999999997
29,1236.4999999999995
39,1250.7999999999997
18,1248.4999999999995
26,1221.0999999999995
34,1250.7999999999997
9,1250.7999999999997
43,922.0
15,1129.2999999999995
0,1221.0999999999995
48,1185.0000000000011
12,1185.0000000000002
4,1250.7999999999997
10,1244.0999999999995
44,1229.7999999999997
27,1250.7999999999997
37,1211.7999999999997
8,1250.7999999999997
28,1250.7999999999997
14,1173.9999999999995
40,1181.9999999999998
49,1250.7999999999997
22,1250.7999999999997
32,1162.7999999999995
3,1217.9999999999995
45,960.0000000000002
