scenario,supply
24,3981.0
36,2341.0
7,3255.9999999999995
13,3324.0
41,4035.0
20,4165.0
17,3823.9999999999995
2,4137.0
19,4165.0
46,2040.0
25,2560.0
31,4059.0
6,4135.0
23,2357.0
38,4165.0
42,3678.0
21,2050.000000000001
35,2387.999999999999
33,4165.0
16,4165.0
1,4165.0
47,2512.000000000002
30,4059.0
5,1823.9999999999995
11,2228.0000000000005
29,4165.0
39,2501.0
18,4165.0
26,3885.0
34,2901.9999999999995
9,4165.0
43,2232.0
15,4078.0
0,2566.0000000000005
48,4165.0
12,2431.0
4,3294.9999999999995
10,2150.000000000001
44,2663.9999999999995
27,4165.0
37,4165.0
8,2522.9999999999995
28,4165.0
14,4165.0
40,1881.0
49,3558.0
22,3927.0
32,3939.0
3,2746.9999999999995
45,3723.0
