scenario,node1,node2
0,49.0,50.0
0,65.0,66.0
0,43.0,44.0
0,61.0,62.0
0,31.0,32.0
0,19.0,34.0
0,106.0,107.0
0,64.0,65.0
0,69.0,70.0
0,49.0,54.0
1,82.0,96.0
1,94.0,95.0
2,62.0,66.0
3,59.0,60.0
3,75.0,118.0
3,3.0,5.0
3,68.0,81.0
3,65.0,66.0
3,61.0,64.0
3,42.0,49.0
3,39.0,40.0
3,103.0,105.0
3,4.0,5.0
3,3.0,12.0
3,100.0,101.0
3,18.0,19.0
3,13.0,15.0
3,21.0,22.0
3,80.0,97.0
4,92.0,100.0
4,27.0,32.0
4,60.0,62.0
4,2.0,12.0
4,79.0,80.0
4,35.0,37.0
4,5.0,8.0
5,69.0,75.0
5,68.0,69.0
5,77.0,80.0
5,43.0,44.0
5,46.0,48.0
5,114.0,115.0
5,1.0,2.0
5,20.0,21.0
5,35.0,36.0
5,24.0,70.0
5,65.0,68.0
5,39.0,40.0
5,89.0,92.0
5,56.0,59.0
5,109.0,110.0
5,40.0,42.0
5,69.0,77.0
6,71.0,72.0
6,5.0,11.0
6,49.0,69.0
6,27.0,115.0
6,17.0,18.0
6,55.0,59.0
6,51.0,52.0
6,59.0,61.0
7,96.0,97.0
7,54.0,59.0
7,34.0,36.0
7,50.0,57.0
7,85.0,89.0
7,92.0,94.0
7,85.0,88.0
7,19.0,34.0
7,105.0,106.0
7,65.0,68.0
7,9.0,10.0
7,75.0,118.0
7,100.0,106.0
8,75.0,118.0
8,34.0,37.0
8,23.0,25.0
8,77.0,80.0
8,1.0,2.0
8,86.0,87.0
8,55.0,59.0
9,14.0,15.0
9,70.0,74.0
