from_node,to_node,distance
49,65,0.01100954
28,37,0.01854348
14,16,0.01940365
97,110,0.02447815
35,39,0.02488474
51,56,0.0257661
15,25,0.02836288
47,57,0.02843986
13,16,0.02889235
96,105,0.0297134
54,70,0.02977536
13,14,0.03173997
63,74,0.0329132
2,52,0.03363238
31,45,0.03364334
77,109,0.03379904
89,93,0.03399651
98,99,0.03420404
84,95,0.03505093
24,71,0.03752085
48,95,0.03851493
51,62,0.0394379
64,69,0.03976427
81,96,0.041589
60,64,0.0426227
24,66,0.04275429
38,114,0.04331374
3,117,0.0442772
36,86,0.04487519
47,53,0.04586104
34,87,0.04602627
81,82,0.04642318
98,107,0.046777440000000003
18,113,0.04753791
81,105,0.04777971
24,67,0.04881822
66,71,0.04882604
22,26,0.0495026
41,44,0.05022502
97,116,0.05026319
88,90,0.05029619
19,33,0.05084644
46,49,0.05146726
99,106,0.05160076
29,35,0.05298046
99,107,0.05359498
17,32,0.05503275
97,109,0.05515654
3,7,0.05564321
42,45,0.05596653
54,62,0.0566126
24,52,0.05691621
34,41,0.05731596
46,50,0.05757167
1,58,0.05864218
67,73,0.05889348
51,54,0.05896341
2,51,0.05975583
83,103,0.05984706
80,82,0.06045875
52,71,0.06070341
55,58,0.06116819
78,112,0.06117723
46,65,0.0616143
10,30,0.06168
68,95,0.06174188
23,30,0.06176816
28,40,0.06220565
13,23,0.06246811
50,115,0.06272239
56,62,0.06337011
48,50,0.06368819
90,93,0.06380837
53,57,0.064335
17,25,0.06539213
48,84,0.06545337
57,61,0.06574381
50,65,0.06705927
53,65,0.06754677
61,70,0.06764231
66,72,0.06765737
25,113,0.06822305
34,40,0.0685423
14,30,0.06854507
31,114,0.06900958
39,85,0.06941294
68,108,0.06963928
13,30,0.06988564
15,32,0.07015748
32,38,0.07044153
36,90,0.07081992
83,94,0.07122233
110,116,0.07134423
2,56,0.07191676
53,61,0.07220293
7,117,0.07233291
47,65,0.07257591
89,91,0.07275646
77,110,0.07328325
68,103,0.07533642
61,69,0.07544583
48,68,0.07579997
75,111,0.07583952
29,39,0.07631044
72,73,0.07671951
31,42,0.07687725
27,45,0.0769423
49,53,0.07709364
62,70,0.07713182
2,62,0.07718049
63,75,0.07774052
35,85,0.07804192
47,61,0.07865795
60,69,0.07888888
83,104,0.07939355
37,41,0.07999568
77,97,0.080141
77,111,0.08017569
82,110,0.0801844
13,73,0.08059601
10,26,0.08097316
16,73,0.08158108
46,115,0.08245196
88,93,0.08250777
88,91,0.08275961
109,111,0.08345487
28,41,0.08399286
104,106,0.08432563
45,114,0.0845658
16,30,0.08478865
52,62,0.08497576
52,67,0.08529812
31,115,0.08530959
10,15,0.08542096
98,106,0.08560163
22,113,0.08598993
86,88,0.08611478
14,23,0.08627011
67,71,0.08627977
25,32,0.08635436
28,42,0.08639644
95,103,0.08700903
48,115,0.08708911
17,38,0.08720213
29,42,0.0876319
83,105,0.08774072
51,70,0.08789805
82,97,0.08798827
96,103,0.08809993
84,103,0.08859638
94,104,0.08904258
36,88,0.08926498
83,96,0.08932139
22,25,0.0897338
60,70,0.08979423
17,23,0.09005927
19,44,0.09033123
18,33,0.0904226
2,24,0.09048944
16,23,0.09082495
2,71,0.09083216
68,84,0.09113188
37,42,0.09119197
59,70,0.0916261
54,61,0.09163241
37,44,0.09195906
56,70,0.09196346
67,72,0.09232018
82,116,0.09288884
82,105,0.09333371
86,90,0.09344772
69,108,0.09353948
29,84,0.09356728
60,75,0.09388464
10,25,0.09458501
10,17,0.09506295
41,87,0.09570163
27,38,0.09585218
