scenario,supply
24,23594.82
36,21896.57
7,23261.12
13,23209.12
41,17571.310000000005
20,23277.12
17,18161.22
2,23079.62
19,23335.12
46,21860.37
25,17310.66
31,23354.719999999998
6,23054.12
23,17854.130000000005
38,23335.12
42,23276.719999999998
21,22922.12
35,23335.12
33,20932.920000000002
16,23215.12
1,23335.12
47,23335.12
30,23163.719999999998
5,21976.059999999987
11,23204.120000000003
29,23274.819999999996
39,22952.12
18,17519.879999999997
26,22714.43999999999
34,18807.969999999998
9,21991.18
43,19079.409999999996
15,23149.42
0,23335.12
48,19384.66
12,23335.12
4,23377.519999999997
10,19115.36999999999
44,23367.12
27,21927.61999999999
37,23549.819999999996
8,23335.12
28,23162.120000000003
14,22144.92
40,19423.91
49,23253.37
22,22163.02
32,18483.06
3,23058.32
45,19787.90000000001
