scenario,supply
24,21841.580000000013
36,21646.49
7,22927.610000000004
13,22837.21
41,20276.109999999982
20,22927.610000000004
17,21110.260000000002
2,22209.059999999998
19,22932.809999999983
46,22091.609999999997
25,20894.290000000005
31,22298.260000000002
6,22927.610000000004
23,21797.860000000008
38,22932.810000000005
42,22927.610000000015
21,22672.400000000005
35,22932.810000000012
33,22117.760000000002
16,22360.21
1,22927.610000000004
47,22927.610000000008
30,22526.61
5,22889.210000000014
11,22802.46
29,22932.810000000012
39,22081.410000000003
18,19807.66
26,21674.01
34,20987.409999999996
9,21547.80999999999
43,22236.210000000003
15,22233.18
0,22927.610000000004
48,21919.93
12,22932.809999999983
4,22388.959999999995
10,22553.400000000005
44,22792.21000000001
27,21179.160000000007
37,22932.809999999983
8,22529.46
28,22434.01
14,21185.009999999995
40,20859.41
49,22131.210000000017
22,21434.949999999986
32,20876.18
3,21191.560000000005
45,21620.809999999998
