scenario,supply
24,18599.599999999995
36,20552.22
7,20631.480000000003
13,20740.79
41,18228.679999999997
20,20647.38000000001
17,17712.080000000005
2,20162.03000000001
19,20793.780000000006
46,19505.189999999995
25,17416.900000000005
31,20888.08
6,20713.38
23,17214.389999999996
38,20354.29000000001
42,20724.789999999997
21,18658.66
35,20819.69
33,19144.000000000007
16,20579.779999999995
1,20713.38
47,20562.18
30,17758.010000000006
5,18025.180000000008
11,20793.68
29,20615.19
39,20128.379999999997
18,17048.670000000002
26,18856.219999999998
34,16387.849999999995
9,16722.88
43,19721.179999999993
15,18516.090000000007
0,20708.28000000001
48,19418.730000000007
12,20713.38
4,20278.78
10,16748.59
44,20792.080000000005
27,19184.500000000004
37,20274.38
8,20762.98
28,18386.680000000008
14,17266.13000000001
40,17298.640000000003
49,19349.29000000001
22,18358.91000000001
32,18819.56
3,16986.079999999998
45,17454.590000000004
