scenario,supply
24,23527.370000000003
7,23734.570000000003
13,23738.370000000003
20,23705.570000000003
17,22104.07
2,23505.47
6,23539.570000000003
12,23734.570000000003
21,23226.570000000003
16,22497.489999999998
1,23734.570000000003
5,22675.48000000001
11,23714.97
9,23554.66999999999
15,22697.57
0,23734.570000000003
22,23510.570000000003
19,23575.570000000003
4,21750.069999999996
10,16984.040000000005
8,23734.570000000003
14,22600.29
23,23582.570000000003
18,17736.480000000003
3,23457.770000000004
