scenario,type,value
28,1depth,22335.25110024452
43,1depth,22280.2788264059
23,1depth,22585.237334963345
24,1depth,22090.37129584353
25,1depth,20970.79902200491
26,1depth,22824.1690220049
27,1depth,22550.127139364322
20,1depth,22316.52713936433
21,1depth,21988.231491442544
48,1depth,22179.31783618634
49,1depth,22488.15941320295
46,1depth,22006.601491442558
47,1depth,22080.699217603924
44,1depth,21811.811295843552
45,1depth,22347.60733496334
42,1depth,22204.557530562357
29,1depth,22248.09941320295
40,1depth,22293.06110024453
41,1depth,21776.029413202945
1,1depth,22308.323374083142
0,1depth,21792.23317848412
3,1depth,22527.025452322756
2,1depth,22507.635256723734
5,1depth,22465.3848655257
4,1depth,22327.821100244524
7,1depth,21647.753374083146
6,1depth,22068.32921760392
9,1depth,21992.142982885107
8,1depth,22154.119413202945
39,1depth,21323.40298288513
12,1depth,22075.64317848412
14,1depth,22488.379217603946
11,1depth,22730.78713936432
10,1depth,23109.152982885113
13,1depth,21626.95525672373
38,1depth,21703.623178484133
15,1depth,22663.009217603932
22,1depth,22675.813569682166
17,1depth,21991.721295843545
16,1depth,22100.985061124728
19,1depth,21695.735061124728
32,1depth,21236.095452322756
31,1depth,21607.047139364327
30,1depth,22615.299608801968
37,1depth,22158.63317848412
36,1depth,21565.563569682156
35,1depth,22325.821295843532
34,1depth,22388.399022004927
33,1depth,22190.271295843544
18,1depth,22113.48298288511
28,fullcascade,23731.850000000002
43,fullcascade,23731.850000000002
23,fullcascade,23731.850000000002
24,fullcascade,23731.850000000002
25,fullcascade,18734.899999999994
26,fullcascade,21292.23
27,fullcascade,23731.4
20,fullcascade,23731.850000000002
21,fullcascade,23731.850000000002
48,fullcascade,22142.699999999993
49,fullcascade,23731.850000000002
46,fullcascade,23731.850000000002
47,fullcascade,23731.850000000002
44,fullcascade,23731.850000000002
45,fullcascade,23731.850000000002
42,fullcascade,23731.4
29,fullcascade,23731.850000000002
40,fullcascade,18140.55999999999
41,fullcascade,20753.100000000017
1,fullcascade,23731.850000000002
0,fullcascade,23731.850000000002
3,fullcascade,23731.850000000002
2,fullcascade,23731.850000000002
5,fullcascade,23731.850000000002
4,fullcascade,23731.850000000002
7,fullcascade,23731.850000000002
6,fullcascade,23731.850000000002
9,fullcascade,23731.850000000002
8,fullcascade,23731.850000000002
39,fullcascade,23731.850000000002
12,fullcascade,23731.850000000002
14,fullcascade,22641.25
11,fullcascade,23731.4
10,fullcascade,23731.850000000002
13,fullcascade,23731.850000000002
38,fullcascade,23731.850000000002
15,fullcascade,23731.850000000002
22,fullcascade,23731.850000000002
17,fullcascade,23731.4
16,fullcascade,23731.850000000002
19,fullcascade,23731.850000000002
32,fullcascade,23170.85
31,fullcascade,23731.850000000002
30,fullcascade,23731.850000000002
37,fullcascade,23731.850000000002
36,fullcascade,23203.05
35,fullcascade,23731.850000000002
34,fullcascade,17725.560000000005
33,fullcascade,23731.850000000002
18,fullcascade,18785.729999999996
