scenario,supply
24,23809.199999999997
7,23847.199999999997
13,23809.199999999997
20,23751.199999999997
17,23809.199999999997
2,23618.099999999995
6,23847.199999999997
12,23809.199999999997
21,23847.199999999997
16,23847.199999999997
1,23847.199999999997
5,23847.199999999997
11,23847.199999999997
9,23809.199999999997
15,23847.199999999997
0,23847.199999999997
22,23702.199999999997
19,23731.199999999997
4,23809.199999999997
10,23847.199999999997
8,23847.199999999997
14,21921.999999999996
23,23809.199999999997
18,21316.499999999996
3,23570.399999999998
