scenario,type,value
28,1depth,16641.958141809326
43,1depth,17167.392909535476
23,1depth,16511.652909535514
24,1depth,16600.36599022007
25,1depth,16303.033838630814
26,1depth,18378.293374083172
27,1depth,17187.780293398566
20,1depth,16665.81599022007
21,1depth,16908.07337408318
48,1depth,17324.492909535507
49,1depth,18146.760757946235
46,1depth,17482.703374083147
47,1depth,16621.258606356972
44,1depth,16830.95814180931
45,1depth,16510.998606356992
42,1depth,16990.18552567241
29,1depth,16795.65075794624
40,1depth,16679.2529095355
41,1depth,17697.188141809314
1,1depth,18117.513374083166
0,1depth,17356.539070904666
3,1depth,17312.368606357
2,1depth,17456.87907090467
5,1depth,16915.725990220068
4,1depth,17174.555990220084
7,1depth,18287.155525672402
6,1depth,18117.915990220088
9,1depth,16644.948141809313
8,1depth,17128.30506112476
39,1depth,18132.18599022007
12,1depth,17530.938141809336
14,1depth,17136.668606356987
11,1depth,17248.413838630826
10,1depth,17964.076454767754
13,1depth,16975.466919315426
38,1depth,16115.693374083166
15,1depth,17477.858606357004
22,1depth,17132.05599022008
17,1depth,18128.380293398557
16,1depth,17839.55383863084
19,1depth,16842.870293398577
32,1depth,17159.695525672407
31,1depth,16756.298141809326
30,1depth,15437.333374083151
37,1depth,18189.795990220075
36,1depth,17506.690757946235
35,1depth,17809.305990220062
34,1depth,17740.170831295854
33,1depth,16662.479070904657
18,1depth,17582.51767726165
28,fullcascade,22258.28999999999
43,fullcascade,23273.930000000004
23,fullcascade,23168.230000000003
24,fullcascade,23227.300000000003
25,fullcascade,18283.759999999995
26,fullcascade,22894.18
27,fullcascade,22980.230000000003
20,fullcascade,23107.930000000004
21,fullcascade,23026.930000000004
48,fullcascade,21963.700000000004
49,fullcascade,23100.930000000004
46,fullcascade,23107.930000000004
47,fullcascade,23248.230000000003
44,fullcascade,23168.230000000003
45,fullcascade,23544.73
42,fullcascade,23107.930000000004
29,fullcascade,23107.930000000004
40,fullcascade,20785.579999999998
41,fullcascade,19010.789999999997
1,fullcascade,23187.93
0,fullcascade,23107.930000000004
3,fullcascade,23107.930000000004
2,fullcascade,23107.930000000004
5,fullcascade,23067.700000000004
4,fullcascade,23187.93
7,fullcascade,23107.930000000004
6,fullcascade,23107.930000000004
9,fullcascade,22266.7
8,fullcascade,23107.930000000004
39,fullcascade,22717.870000000003
12,fullcascade,23107.930000000004
14,fullcascade,21191.489999999994
11,fullcascade,23631.729999999996
10,fullcascade,23551.73
13,fullcascade,23107.930000000004
38,fullcascade,23107.930000000004
15,fullcascade,22717.870000000003
22,fullcascade,23100.93
17,fullcascade,23187.93
16,fullcascade,22247.690000000002
19,fullcascade,23107.930000000004
32,fullcascade,15759.040000000003
31,fullcascade,23240.700000000004
30,fullcascade,23114.930000000004
37,fullcascade,23280.930000000004
36,fullcascade,22978.38
35,fullcascade,23107.930000000004
34,fullcascade,13909.400000000003
33,fullcascade,23107.930000000004
18,fullcascade,17677.28999999999
