line_upgrade_cost_coef_scale,line_establish_cost_coef_scale,line_upgrade_capacity_coef_scale,line_establish_capacity_coef_scale,set_decision_var_priorities,runtime,net_runtime_simulations,best_incumbent
1.0,5.0,35.2013966480447,70.4027932960894,True,4692.39698870387,629.5462262940696,2011.36
1.0,5.0,35.2013966480447,70.4027932960894,True,9121.959402997301,2010.4534673596086,2045.1799999999998
1.0,5.0,35.2013966480447,70.4027932960894,True,10065.438212052522,2722.1871275382005,2045.1799999999998
1.0,5.0,35.2013966480447,70.4027932960894,True,11842.296443111603,4281.825253745486,2083.58
1.0,5.0,35.2013966480447,70.4027932960894,True,13949.525261340146,6075.343144854018,2200.08
1.0,5.0,35.2013966480447,70.4027932960894,True,14628.194389112161,6666.762046279622,2212.5000000000005
1.0,5.0,35.2013966480447,70.4027932960894,True,17313.77574937515,8957.876928140022,2249.62
1.0,5.0,35.2013966480447,70.4027932960894,True,18954.14850116437,10345.180595847849,2338.68
1.0,5.0,35.2013966480447,70.4027932960894,True,20273.078298079803,11461.862307712208,2590.419999999999
1.0,5.0,35.2013966480447,70.4027932960894,True,23564.506858089975,14163.46034351177,3176.140000000001
1.0,5.0,35.2013966480447,70.4027932960894,True,27606.05162006571,17473.068238713455,3389.68
1.0,5.0,35.2013966480447,70.4027932960894,True,28169.26932932912,17912.96554755918,3578.7800000000007
1.0,5.0,35.2013966480447,70.4027932960894,True,28641.636533035766,18280.74954467605,3586.8800000000006
1.0,5.0,35.2013966480447,70.4027932960894,True,28833.495134725537,18424.6465357977,3586.8800000000006
1.0,5.0,35.2013966480447,70.4027932960894,True,29388.87773539244,18859.87671196248,3620.5000000000014
1.0,5.0,35.2013966480447,70.4027932960894,True,31597.342694294533,20423.555112897277,3668.860000000002
1.0,5.0,35.2013966480447,70.4027932960894,True,32131.84373749335,20796.74593052906,3668.860000000002
1.0,5.0,35.2013966480447,70.4027932960894,True,33039.89576374526,21403.540161376517,3668.860000000002
1.0,5.0,35.2013966480447,70.4027932960894,True,34320.53396277025,22192.124236658634,3705.6400000000012
1.0,5.0,35.2013966480447,70.4027932960894,True,45123.25410872421,NA,3708.36000000004
