line_upgrade_cost_coef_scale,line_establish_cost_coef_scale,line_upgrade_capacity_coef_scale,line_establish_capacity_coef_scale,set_decision_var_priorities,runtime,net_runtime_simulations,best_incumbent
1.0,5.0,35.2013966480447,70.4027932960894,True,7909.948706476139,1624.1747192323169,2045.1799999999998
1.0,5.0,35.2013966480447,70.4027932960894,True,9920.274287190145,2476.8902352893333,2045.1799999999998
1.0,5.0,35.2013966480447,70.4027932960894,True,11586.403980909248,3937.0474887992955,2083.58
1.0,5.0,35.2013966480447,70.4027932960894,True,14146.39290721518,6127.96683040218,2200.08
1.0,5.0,35.2013966480447,70.4027932960894,True,15767.525769357348,7517.9788069218885,2217.84
1.0,5.0,35.2013966480447,70.4027932960894,True,16300.428931778637,7978.173920513225,2217.84
1.0,5.0,35.2013966480447,70.4027932960894,True,16832.113890857083,8442.067510252074,2223.36
1.0,5.0,35.2013966480447,70.4027932960894,True,18057.4237423801,9472.61707734235,2277.6999999999994
1.0,5.0,35.2013966480447,70.4027932960894,True,18288.73783354273,9674.024067670396,2277.6999999999994
1.0,5.0,35.2013966480447,70.4027932960894,True,19242.19284344281,10477.626186949767,2343.0
1.0,5.0,35.2013966480447,70.4027932960894,True,20912.70522003317,11911.265838346431,2590.419999999999
1.0,5.0,35.2013966480447,70.4027932960894,True,24367.150598939763,14727.930179208333,3207.9599999999996
1.0,5.0,35.2013966480447,70.4027932960894,True,25227.58944274268,15450.22025560718,3207.9599999999996
1.0,5.0,35.2013966480447,70.4027932960894,True,29707.739519443036,19022.736122042454,3627.280000000001
1.0,5.0,35.2013966480447,70.4027932960894,True,30025.922362968333,19264.83337803846,3642.9400000000014
1.0,5.0,35.2013966480447,70.4027932960894,True,32492.80532331483,20892.48949846528,3668.860000000002
1.0,5.0,35.2013966480447,70.4027932960894,True,32961.69538509325,21209.229354690153,3668.860000000002
1.0,5.0,35.2013966480447,70.4027932960894,True,41954.32842316411,22841.898119511457,3708.3600000000015
1.0,5.0,35.2013966480447,70.4027932960894,True,44934.283571730695,NA,3708.36000000004
