scenario,supply
24,20559.390000000003
36,17568.350000000002
7,21850.229999999996
13,22581.579999999998
41,16251.909999999996
20,21747.920000000016
17,20795.289999999997
2,21070.16000000001
19,22788.41999999999
46,22449.999999999978
25,18101.940000000006
31,22984.81000000001
6,23102.810000000027
23,17649.64
38,23102.810000000027
42,22767.90000000003
21,22010.049999999992
35,23102.810000000027
33,21597.440000000002
16,22982.47999999999
1,22770.23000000001
47,23144.809999999987
30,22495.399999999998
5,22871.810000000016
11,22770.23000000001
29,22770.23000000001
39,20759.22000000001
18,18336.230000000007
26,20477.96000000001
34,15235.469999999996
9,18952.09
43,19974.010000000013
15,19702.07
0,22814.48000000001
48,17572.25999999999
12,22770.229999999996
4,19225.65
10,19513.96
44,23762.85
27,21005.700000000004
37,23144.809999999987
8,22770.23000000001
28,22558.61000000001
14,21282.410000000003
40,15330.43
49,19493.12
22,20680.359999999997
32,20193.300000000007
3,22734.419999999995
45,22356.21000000001
