scenario,type,value
24,1depth,23771.210000004
20,1depth,23487.637921766393
21,1depth,23489.191882645595
22,1depth,23643.41980440498
23,1depth,23766.54584352179
1,1depth,23717.997921761395
0,1depth,23704.56584352278
3,1depth,23452.457726163375
2,1depth,23760.963765281176
5,1depth,23060.673960880194
4,1depth,23787.24
7,1depth,23665.26168704657
6,1depth,23739.709804410988
9,1depth,23766.47772616138
8,1depth,23656.037726162376
11,1depth,23719.915843531784
10,1depth,23734.281882640586
13,1depth,23541.81792176039
12,1depth,23591.421687048572
15,1depth,23412.001295845545
14,1depth,23477.207530569365
17,1depth,23753.88960880797
16,1depth,23750.170000010003
19,1depth,23728.941882641586
18,1depth,23666.761687047576
24,fullcascade,23673.85
20,fullcascade,23673.85
21,fullcascade,23673.399999999998
22,fullcascade,23673.85
23,fullcascade,23673.85
1,fullcascade,23673.85
0,fullcascade,23673.85
3,fullcascade,23673.85
2,fullcascade,23673.85
5,fullcascade,23673.85
4,fullcascade,23673.85
7,fullcascade,23673.85
6,fullcascade,23673.85
9,fullcascade,23673.85
8,fullcascade,23673.85
11,fullcascade,23673.399999999998
10,fullcascade,23673.85
13,fullcascade,23673.85
12,fullcascade,23673.85
15,fullcascade,23673.85
14,fullcascade,22582.8
17,fullcascade,23673.399999999998
16,fullcascade,23673.85
19,fullcascade,23673.85
18,fullcascade,20076.600000000002
