scenario,supply
24,3793.0
36,3236.0
7,3153.0
13,3303.0
41,3627.9999999999995
20,4027.0
17,3855.0000000000005
2,4085.0
19,4085.0
46,2294.0
25,2860.999999999999
31,4142.0
6,3585.0
23,2579.9999999999995
38,4038.0
42,3341.9999999999995
21,3246.0
35,2794.0
33,3961.0
16,4065.0
1,4046.0
47,3389.0
30,3698.0
5,2519.0
11,3313.0000000000005
29,3967.0
39,3610.0
18,4014.0
26,3697.0
34,3067.0000000000005
9,4085.0
43,2650.9999999999995
15,3869.0
0,3489.0
48,4071.0
12,2884.9999999999995
4,3527.0
10,2600.0
44,3317.9999999999995
27,4027.0
37,4053.0
8,3445.9999999999995
28,3957.0
14,3990.0
40,2931.0
49,3612.0
22,3537.0
32,3288.0
3,3133.9999999999995
45,3739.0
