scenario,supply
24,4242.0
36,3664.0
7,3748.9999999999995
13,3868.9999999999995
41,4242.0
20,4198.0
17,4155.0
2,4165.0
19,4242.0
46,3155.999999999999
25,3689.0000000000005
31,4191.0
6,4143.0
23,3348.0
38,4242.0
42,3920.0000000000005
21,3632.0
35,3399.0
33,4242.0
16,4236.0
1,4242.0
47,3981.0
30,4076.0
5,2762.9999999999995
11,3706.0
29,4119.0
39,3868.0
18,4242.0
26,4088.0000000000005
34,4110.0
9,4242.0
43,3377.0
15,4167.0
0,3948.0
48,4242.0
12,3451.9999999999995
4,3897.0
10,3166.0000000000005
44,3934.0
27,4242.0
37,4242.0
8,3833.0
28,4240.0
14,4242.0
40,3400.9999999999995
49,3623.0
22,3628.9999999999995
32,4178.0
3,3835.0
45,4242.0
